gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_083378916.1,2,48.0,46.44
dnaN,WP_071163336.1,1,53.0,54.59
recF,WP_236842331.1,1,52.0,44.36
NA,WP_083378918.1,1,50.0,41.24
gyrB,WP_071163338.1,1,55.00000000000001,62.24
gyrA,WP_071163339.1,1,57.99999999999999,65.74
NA,WP_071163340.1,1,54.0,75.0
NA,WP_236842332.1,1,53.0,54.29
NA,WP_071163341.1,1,51.0,53.59
NA,WP_071163342.1,1,55.00000000000001,69.48
NA,WP_071163343.1,1,55.00000000000001,50.23
NA,WP_071163344.1,1,60.0,74.38
NA,WP_071163345.1,1,56.00000000000001,67.3
NA,WP_071163346.1,1,53.0,62.65
NA,WP_071163347.1,1,50.0,53.23
NA,WP_236842333.1,1,59.0,59.7
NA,WP_170299641.1,1,56.00000000000001,79.07
pknB,WP_071163348.1,1,59.0,63.78
NA,WP_071163349.1,1,56.99999999999999,54.94
NA,WP_071163350.1,1,56.99999999999999,62.79
NA,WP_071163351.1,1,52.0,55.67
NA,WP_071163352.1,1,54.0,52.69
NA,WP_071163353.1,1,57.99999999999999,57.63
NA,WP_071163354.1,1,55.00000000000001,57.14
NA,WP_071163355.1,1,61.0,63.01
mtnN,WP_071163356.1,1,60.0,64.81
NA,WP_071163357.1,1,56.99999999999999,67.59
NA,WP_071163358.1,1,61.0,66.39
NA,WP_071163359.1,1,52.0,58.54
nrdH,WP_071163360.1,1,56.00000000000001,60.56
nrdI,WP_071163361.1,1,50.0,49.23
nrdE,WP_071163362.1,1,53.0,69.96
NA,WP_071163363.1,1,54.0,69.48
NA,WP_071163364.1,1,53.0,65.77
NA,WP_170299642.1,1,52.0,55.36
NA,WP_071163366.1,1,53.0,56.67
NA,WP_071163367.1,1,56.99999999999999,56.34
NA,WP_071163368.1,1,40.0,32.6
NA,WP_071163369.1,1,39.0,34.59
NA,WP_071163370.1,1,36.0,32.9
NA,WP_170299643.1,1,38.0,34.64
NA,WP_071163372.1,1,40.0,36.48
bsh,WP_071163373.1,1,57.99999999999999,81.21
NA,WP_071163374.1,1,53.0,65.61
NA,WP_071163375.1,1,53.0,60.27
NA,WP_071163376.1,1,57.99999999999999,67.73
NA,WP_071163377.1,1,51.0,55.38
NA,WP_071163378.1,1,56.00000000000001,67.43
NA,WP_071163379.1,1,56.99999999999999,66.03
NA,WP_071163380.1,1,56.99999999999999,69.26
NA,WP_071163381.1,1,54.0,51.39
NA,WP_071163382.1,1,59.0,60.34
cysK,WP_071163383.1,1,57.99999999999999,63.0
cysE,WP_071163384.1,1,57.99999999999999,62.84
NA,WP_071163385.1,1,57.99999999999999,65.75
dnaB,WP_071163386.1,1,53.0,56.92
NA,WP_071163387.1,1,51.0,49.5
NA,WP_071163388.1,1,56.99999999999999,65.13
NA,WP_083378932.1,1,59.0,55.77
NA,WP_083379211.1,1,61.0,68.65
NA,WP_071164857.1,1,57.99999999999999,65.52
NA,WP_071163389.1,1,61.0,68.04
NA,WP_204377193.1,1,49.0,47.01
NA,WP_071163391.1,1,59.0,67.76
nrdF,WP_071163392.1,1,51.0,67.63
NA,WP_071163393.1,1,56.00000000000001,60.0
NA,WP_071163394.1,1,59.0,59.06
NA,WP_071163395.1,1,56.00000000000001,60.05
NA,WP_083378934.1,1,53.0,52.34
NA,WP_071163396.1,1,56.99999999999999,58.5
NA,WP_071163397.1,1,56.99999999999999,65.17
NA,WP_071163398.1,1,59.0,72.27
NA,WP_071163399.1,1,43.0,35.31
NA,WP_156981947.1,1,39.0,33.85
NA,WP_170299644.1,1,61.0,72.86
NA,WP_071163402.1,1,60.0,67.67
NA,WP_071163403.1,1,54.0,56.19
NA,WP_071163404.1,1,51.0,56.73
NA,WP_071163405.1,1,51.0,58.19
NA,WP_071163406.1,1,49.0,52.13
NA,WP_071163407.1,1,47.0,49.73
NA,WP_071163408.1,1,44.0,38.14
NA,WP_071163409.1,1,47.0,46.69
NA,WP_071163410.1,1,52.0,44.62
NA,WP_071163411.1,1,40.0,34.29
NA,WP_071163412.1,1,42.0,34.91
NA,WP_071163413.1,1,39.0,31.82
NA,WP_083378940.1,1,40.0,35.5
NA,WP_236842334.1,1,57.99999999999999,71.45
NA,WP_071163415.1,1,34.0,26.15
NA,WP_071163416.1,1,40.0,37.08
NA,WP_083378942.1,1,42.0,35.54
NA,WP_071163417.1,1,40.0,37.89
NA,WP_156981948.1,1,38.0,38.69
NA,WP_083378943.1,1,44.0,34.89
NA,WP_071163420.1,1,39.0,34.25
NA,WP_071163421.1,1,40.0,28.28
NA,WP_083378947.1,1,44.0,35.97
wecC,WP_071163423.1,1,46.0,37.25
wecB,WP_071163424.1,1,47.0,40.77
NA,WP_236842335.1,1,53.0,61.82
NA,WP_071163425.1,1,57.99999999999999,60.4
NA,WP_071163426.1,1,57.99999999999999,72.79
NA,WP_083378948.1,1,55.00000000000001,64.24
NA,WP_071163428.1,1,56.99999999999999,64.71
NA,WP_071163429.1,1,56.00000000000001,46.9
NA,WP_071163430.1,1,53.0,51.31
NA,WP_071163431.1,1,55.00000000000001,68.97
NA,WP_083378950.1,1,59.0,74.66
NA,WP_071163433.1,1,52.0,54.45
NA,WP_071163434.1,1,53.0,55.4
NA,WP_156981949.1,1,54.0,57.56
NA,WP_156981950.1,1,50.0,48.77
NA,WP_071163437.1,1,55.00000000000001,48.62
NA,WP_071163438.1,1,50.0,43.0
NA,WP_071163439.1,1,52.0,53.77
NA,WP_083378954.1,1,50.0,52.27
NA,WP_071163440.1,1,61.0,56.64
NA,WP_071163441.1,1,55.00000000000001,62.96
nth,WP_071163442.1,1,52.0,48.82
NA,WP_071163443.1,1,56.00000000000001,54.14
NA,WP_071163444.1,1,56.99999999999999,49.25
NA,WP_071163445.1,1,48.0,50.77
NA,WP_071163446.1,1,51.0,46.14
NA,WP_071163447.1,1,50.0,43.66
NA,WP_071163448.1,1,49.0,45.05
NA,WP_071163449.1,1,49.0,38.14
NA,WP_071163450.1,1,46.0,35.2
NA,WP_071163451.1,1,48.0,51.02
NA,WP_071163452.1,1,56.00000000000001,55.27
NA,WP_071163453.1,1,49.0,55.63
NA,WP_071163454.1,1,53.0,57.91
thrC,WP_071163455.1,1,57.99999999999999,64.8
thrB,WP_071163456.1,1,62.0,68.0
