gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_244387432.1,1,53.0,67.36
rpmH,WP_102380352.1,1,55.00000000000001,45.71
rnpA,WP_244387433.1,1,48.0,43.27
yidD,WP_244387434.1,1,49.0,45.07
NA,WP_102380353.1,1,52.0,67.98
NA,WP_102380354.1,1,52.0,55.19
rsmG,WP_244387436.1,1,44.0,39.38
NA,WP_244412620.1,1,40.0,43.55
NA,WP_102380458.1,1,47.0,44.01
NA,WP_244387439.1,1,52.0,58.11
rlmN,WP_244387440.1,1,54.0,64.48
NA,WP_244387441.1,1,54.0,61.84
NA,WP_244387443.1,1,56.00000000000001,66.34
NA,WP_244387445.1,1,57.99999999999999,68.6
NA,WP_244387447.1,1,59.0,70.26
NA,WP_244387449.1,1,61.0,69.25
NA,WP_180326546.1,1,61.0,90.0
NA,WP_244412621.1,1,57.99999999999999,71.87
NA,WP_244387451.1,1,59.0,75.25
NA,WP_244387452.1,1,61.0,76.94
NA,WP_244387453.1,1,56.99999999999999,70.62
NA,WP_244387455.1,1,60.0,73.55
NA,WP_244387457.1,1,56.00000000000001,70.9
NA,WP_244387459.1,1,56.00000000000001,63.32
rfbA,WP_244387461.1,1,45.0,46.18
rfbB,WP_244387462.1,1,44.0,44.25
rfbC,WP_244387464.1,1,45.0,39.36
NA,WP_244387467.1,1,44.0,47.53
NA,WP_244387469.1,1,45.0,44.0
NA,WP_244387471.1,1,46.0,42.74
NA,WP_244387474.1,1,47.0,44.41
NA,WP_279611941.1,1,44.0,40.3
NA,WP_244387478.1,1,45.0,46.63
NA,WP_244387480.1,1,42.0,41.08
NA,WP_244387482.1,1,47.0,44.72
NA,WP_244387484.1,1,44.0,45.79
NA,WP_244387486.1,1,46.0,47.54
NA,WP_244387488.1,1,45.0,47.83
NA,WP_244387490.1,1,45.0,49.59
NA,WP_244387492.1,1,46.0,47.59
NA,WP_244387494.1,1,44.0,46.03
NA,WP_244387496.1,1,50.0,49.86
NA,WP_244387497.1,1,45.0,44.29
NA,WP_244387498.1,1,48.0,46.9
NA,WP_244387499.1,1,47.0,43.9
NA,WP_244387500.1,1,47.0,46.93
NA,WP_244387501.1,1,55.00000000000001,62.88
NA,WP_244387503.1,1,55.00000000000001,61.8
NA,WP_244387504.1,1,63.0,77.6
NA,WP_244387505.1,1,56.00000000000001,68.57
NA,WP_244387506.1,1,56.99999999999999,71.7
NA,WP_244387507.1,1,57.99999999999999,75.69
NA,WP_244387508.1,1,55.00000000000001,63.8
NA,WP_244387509.1,1,62.0,72.95
NA,WP_244387510.1,1,57.99999999999999,68.02
galE,WP_244387512.1,1,61.0,79.51
NA,WP_244387513.1,1,60.0,79.44
NA,WP_244387515.1,1,59.0,76.14
NA,WP_180995190.1,1,56.99999999999999,72.12
NA,WP_244387516.1,1,65.0,72.12
NA,WP_244387517.1,1,55.00000000000001,62.11
NA,WP_244387518.1,1,61.0,74.38
NA,WP_244387519.1,1,56.99999999999999,56.2
NA,WP_244387521.1,1,54.0,55.38
NA,WP_244387523.1,1,62.0,75.32
NA,WP_244387524.1,1,61.0,73.51
NA,WP_244387525.1,1,59.0,74.67
nikR,WP_102375911.1,1,59.0,74.81
hypE,WP_244387526.1,1,65.0,82.06
NA,WP_244387528.1,1,60.0,81.44
