gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_003420483.1,1,30.0,16.74
dnaN,WP_003420481.1,1,26.0,10.58
yaaA,WP_003420479.1,1,27.0,10.17
recF,WP_003429303.1,1,26.0,14.36
gyrB,WP_003434229.1,1,32.0,14.9
gyrA,WP_003429305.1,1,31.0,14.27
NA,WP_003420471.1,1,26.0,12.36
NA,WP_003420469.1,1,25.0,14.29
NA,WP_003429306.1,1,26.0,14.58
NA,WP_009892343.1,1,27.0,10.32
NA,WP_003420464.1,1,28.000000000000004,18.55
NA,WP_003435561.1,1,28.000000000000004,15.62
NA,WP_003426056.1,1,25.0,13.73
serS,WP_003435562.1,1,31.0,11.59
NA,WP_003421624.1,1,28.000000000000004,16.2
dnaX,WP_003421622.1,1,27.0,16.42
NA,WP_009887752.1,1,34.0,18.69
recR,WP_003421618.1,1,35.0,20.0
NA,WP_003421616.1,1,19.0,9.38
NA,WP_003435567.1,1,28.999999999999996,15.56
NA,WP_004453983.1,1,28.999999999999996,15.62
NA,WP_021370823.1,1,30.0,13.14
NA,WP_009887791.1,1,31.0,15.17
NA,WP_003425587.1,1,26.0,15.86
NA,WP_003421255.1,1,27.0,15.48
NA,WP_004453979.1,1,28.999999999999996,15.06
NA,WP_021373168.1,1,31.0,13.9
radA,WP_021364956.1,1,32.0,14.73
disA,WP_004453975.1,1,28.999999999999996,16.14
NA,WP_009887799.1,1,28.999999999999996,11.55
NA,WP_009895159.1,1,27.0,15.64
NA,WP_021373169.1,1,25.0,17.52
NA,WP_021373170.1,1,33.0,21.11
NA,WP_009895162.1,1,32.0,17.25
NA,WP_021362097.1,1,28.999999999999996,15.4
NA,WP_004453966.1,1,28.999999999999996,14.61
NA,WP_009887810.1,1,33.0,15.11
NA,WP_004453964.1,1,35.0,13.48
NA,WP_004453963.1,1,31.0,15.63
lpdA,WP_021362098.1,1,32.0,12.17
NA,WP_009887817.1,1,28.999999999999996,15.01
NA,WP_009892531.1,1,28.999999999999996,19.31
NA,WP_009895171.1,1,28.000000000000004,11.63
NA,WP_009887822.1,1,33.0,15.91
NA,WP_009895173.1,1,21.0,18.92
NA,WP_004453954.1,1,34.0,14.98
NA,WP_004453953.1,1,24.0,15.61
ispD,WP_009895177.1,1,28.000000000000004,17.11
ispF,WP_003425513.1,1,32.0,18.42
NA,WP_003435583.1,1,33.0,16.9
proS,WP_009895182.1,1,33.0,15.89
gltX,WP_003435581.1,1,30.0,14.88
NA,WP_003421202.1,1,23.0,16.67
