gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_221064955.1,1,61.0,83.03
dnaN,WP_221064956.1,1,63.0,88.24
recF,WP_221064957.1,1,64.0,76.5
gyrB,WP_221064958.1,1,63.0,87.2
NA,WP_221064959.1,1,62.0,84.75
acpA,WP_221064960.1,1,68.0,85.84
NA,WP_246628674.1,1,63.0,68.83
NA,WP_221064961.1,1,56.99999999999999,72.04
NA,WP_221064962.1,1,56.99999999999999,74.18
NA,WP_221064963.1,1,67.0,81.46
NA,WP_221064964.1,1,60.0,84.07
NA,WP_221064965.1,1,65.0,87.01
NA,WP_221064966.1,1,67.0,84.83
NA,WP_221064967.1,1,67.0,85.84
NA,WP_221067071.1,1,60.0,80.0
NA,WP_246628528.1,1,53.0,55.74
NA,WP_221064969.1,1,56.99999999999999,64.15
NA,WP_221063785.1,1,63.0,81.06
NA,WP_221064970.1,1,50.0,53.14
NA,WP_246628529.1,1,52.0,60.16
glmS,WP_221064971.1,1,65.0,85.52
glmU,WP_221064972.1,1,65.0,81.21
NA,WP_221064973.1,1,54.0,63.12
NA,WP_221064974.1,1,61.0,74.13
NA,WP_221064975.1,1,70.0,86.85
NA,WP_221064976.1,1,69.0,83.49
NA,WP_221064977.1,1,67.0,88.67
fabG,WP_221064978.1,1,67.0,82.17
NA,WP_221064979.1,1,68.0,78.68
NA,WP_221064980.1,1,72.0,86.27
NA,WP_246628530.1,1,70.0,82.67
NA,WP_221064981.1,1,69.0,84.29
NA,WP_221064982.1,1,69.0,85.34
NA,WP_221064983.1,1,64.0,81.38
NA,WP_221064984.1,1,75.0,90.7
NA,WP_221064985.1,1,68.0,82.33
NA,WP_221064986.1,1,65.0,83.75
NA,WP_221064987.1,1,69.0,83.17
NA,WP_221064988.1,1,67.0,83.65
NA,WP_221064989.1,1,67.0,80.58
NA,WP_246628531.1,1,73.0,87.86
NA,WP_221064990.1,1,70.0,77.31
NA,WP_221064991.1,1,67.0,84.49
NA,WP_221064992.1,1,68.0,84.23
NA,WP_221064993.1,1,65.0,83.97
atpD,WP_221064994.1,1,63.0,84.92
atpG,WP_221064995.1,1,60.0,87.1
atpA,WP_281425988.1,1,62.0,81.58
NA,WP_221064997.1,1,64.0,82.25
NA,WP_085209792.1,1,59.0,76.67
atpE,WP_217807329.1,1,62.0,84.21
atpB,WP_221064998.1,1,55.00000000000001,77.51
NA,WP_221064999.1,1,51.0,60.2
NA,WP_221065000.1,1,64.0,78.7
NA,WP_221065001.1,1,47.0,59.04
NA,WP_221065002.1,1,61.0,78.68
rsmG,WP_221065003.1,1,64.0,79.29
mnmG,WP_221065004.1,1,65.0,81.79
NA,WP_281425919.1,1,68.0,74.19
NA,WP_221065005.1,1,66.0,82.04
NA,WP_221065006.1,1,68.0,85.32
NA,WP_221066870.1,1,65.0,86.76
NA,WP_221065007.1,1,63.0,85.96
NA,WP_221065008.1,1,68.0,84.51
NA,WP_221065009.1,1,69.0,83.13
NA,WP_221065010.1,1,64.0,85.14
NA,WP_221065011.1,1,66.0,88.88
NA,WP_221065012.1,1,61.0,84.31
NA,WP_246628532.1,1,68.0,81.73
NA,WP_221065013.1,1,63.0,81.36
NA,WP_221065014.1,1,66.0,87.7
NA,WP_221065015.1,1,69.0,84.27
NA,WP_221065016.1,1,70.0,91.96
NA,WP_221065017.1,1,70.0,82.47
rfaE1,WP_221065018.1,1,71.0,87.93
NA,WP_221065019.1,1,70.0,87.71
NA,WP_221065020.1,1,54.0,66.93
NA,WP_221065021.1,1,49.0,52.78
NA,WP_221065022.1,1,50.0,57.14
NA,WP_221065023.1,1,54.0,61.09
NA,WP_221065024.1,1,56.99999999999999,70.02
NA,WP_246628533.1,1,64.0,77.21
NA,WP_221065025.1,1,65.0,81.49
NA,WP_221065026.1,1,56.99999999999999,69.92
NA,WP_221065027.1,1,57.99999999999999,66.81
epsG,WP_221065028.1,1,67.0,84.9
epsF,WP_221065029.1,1,67.0,86.27
epsE,WP_221065030.1,1,63.0,80.0
NA,WP_221065031.1,1,56.00000000000001,63.18
NA,WP_221065032.1,1,55.00000000000001,68.61
NA,WP_221065033.1,1,56.00000000000001,70.33
NA,WP_221065034.1,1,67.0,83.24
NA,WP_221065035.1,1,66.0,85.97
NA,WP_221065036.1,1,67.0,85.27
NA,WP_221066873.1,1,67.0,88.19
NA,WP_221065037.1,1,64.0,88.38
NA,WP_221065038.1,1,65.0,89.6
NA,WP_221065039.1,1,64.0,86.67
NA,WP_221065040.1,1,66.0,82.2
NA,WP_221065041.1,1,54.0,67.09
sfnG,WP_221065042.1,1,63.0,83.47
NA,WP_221065043.1,1,68.0,87.6
NA,WP_221065044.1,1,67.0,86.83
ssuD,WP_221065045.1,1,69.0,84.37
NA,WP_221065046.1,1,68.0,84.33
NA,WP_221065047.1,1,59.0,67.49
NA,WP_221065048.1,1,56.99999999999999,63.64
NA,WP_221065049.1,1,60.0,66.77
NA,WP_221065050.1,1,61.0,70.73
NA,WP_221065051.1,1,54.0,62.37
NA,WP_221065052.1,1,63.0,81.06
NA,WP_221065053.1,1,65.0,84.55
NA,WP_221065054.1,1,44.0,43.84
NA,WP_221065055.1,1,61.0,75.73
NA,WP_221065056.1,1,64.0,82.4
NA,WP_221065057.1,1,57.99999999999999,66.19
NA,WP_221065058.1,1,63.0,87.84
grxD,WP_221065059.1,1,59.0,79.41
rnt,WP_221065060.1,1,65.0,84.91
NA,WP_221065061.1,1,63.0,82.66
NA,WP_221065062.1,1,67.0,86.74
NA,WP_221065063.1,1,68.0,86.38
NA,WP_221065064.1,1,68.0,87.36
NA,WP_221065065.1,1,65.0,81.37
NA,WP_221065066.1,1,69.0,83.54
NA,WP_246628535.1,1,59.0,69.9
NA,WP_221065068.1,1,63.0,70.0
metK,WP_221065069.1,1,65.0,86.53
NA,WP_221065070.1,1,67.0,85.0
guaD,WP_221065071.1,1,67.0,82.23
NA,WP_221065072.1,1,66.0,76.33
NA,WP_221065073.1,1,67.0,78.74
NA,WP_221065074.1,1,67.0,84.88
NA,WP_221065075.1,1,63.0,85.26
NA,WP_221065076.1,1,71.0,86.01
NA,WP_221065077.1,1,69.0,87.32
NA,WP_221065078.1,1,69.0,87.06
NA,WP_221065079.1,1,71.0,87.33
NA,WP_221065080.1,1,69.0,85.23
NA,WP_221065081.1,1,71.0,85.06
chrA,WP_221065082.1,1,67.0,86.68
NA,WP_221065083.1,1,67.0,84.18
NA,WP_221065084.1,1,69.0,84.71
NA,WP_221065085.1,1,69.0,80.46
NA,WP_281425920.1,1,68.0,88.57
NA,WP_221065086.1,1,44.0,40.57
NA,WP_221065087.1,1,51.0,54.17
hflK,WP_221065088.1,1,63.0,82.66
hflC,WP_221065089.1,1,63.0,84.49
hypA,WP_221065090.1,1,67.0,80.77
hypB,WP_221065091.1,1,64.0,80.95
NA,WP_221065092.1,1,64.0,80.51
NA,WP_221065094.1,1,60.0,70.27
ahcY,WP_221065096.1,1,63.0,87.31
NA,WP_221065097.1,1,57.99999999999999,69.82
metF,WP_221065099.1,1,62.0,82.61
NA,WP_221065100.1,1,59.0,75.68
NA,WP_221065101.1,1,70.0,83.91
NA,WP_221065102.1,1,62.0,85.25
NA,WP_221065103.1,1,63.0,82.95
thrC,WP_221065104.1,1,66.0,88.14
NA,WP_221065105.1,1,64.0,85.5
NA,WP_221065106.1,1,63.0,78.82
lgt,WP_221065107.1,1,65.0,87.16
NA,WP_221065108.1,1,61.0,72.47
NA,WP_221065109.1,1,59.0,69.05
NA,WP_221065110.1,1,69.0,83.94
NA,WP_221065111.1,1,69.0,81.82
NA,WP_221065112.1,1,62.0,85.77
NA,WP_221065113.1,1,66.0,86.46
NA,WP_221065114.1,1,67.0,83.44
NA,WP_221065115.1,1,69.0,86.08
NA,WP_221065116.1,1,69.0,85.25
NA,WP_221065117.1,1,67.0,90.98
NA,WP_221065118.1,1,71.0,85.59
NA,WP_221065119.1,1,68.0,82.47
NA,WP_221065120.1,1,64.0,87.7
NA,WP_221065121.1,1,69.0,83.65
NA,WP_221065122.1,1,68.0,84.33
NA,WP_221065123.1,1,66.0,81.02
NA,WP_221065124.1,1,68.0,83.05
pbpC,WP_221065125.1,1,68.0,80.57
NA,WP_246628536.1,1,65.0,86.62
NA,WP_221065126.1,1,69.0,84.07
NA,WP_221065127.1,1,67.0,90.36
NA,WP_221065128.1,1,68.0,86.86
