gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_014162172.1,1,47.0,56.15
dnaN,WP_014162173.1,1,45.0,45.26
recF,WP_014162174.1,1,47.0,49.71
mnmG,WP_014162175.1,1,48.0,50.64
NA,WP_014162176.1,1,46.0,47.1
NA,WP_014162177.1,1,43.0,43.87
NA,WP_014162178.1,1,41.0,40.69
NA,WP_014162179.1,1,44.0,44.27
NA,WP_014162180.1,1,56.99999999999999,67.83
NA,WP_169311572.1,1,45.0,62.16
NA,WP_244406327.1,1,45.0,44.41
NA,WP_014162182.1,1,46.0,42.56
NA,WP_014162183.1,1,51.0,54.92
NA,WP_014162184.1,1,47.0,49.3
NA,WP_014162185.1,1,50.0,55.64
NA,WP_014162186.1,1,49.0,56.19
xth,WP_041445831.1,1,46.0,52.19
NA,WP_014162188.1,1,46.0,57.05
NA,WP_014162189.1,1,44.0,49.38
NA,WP_014162190.1,1,51.0,55.38
NA,WP_014162191.1,1,46.0,50.9
NA,WP_014162192.1,1,47.0,46.32
NA,WP_014162193.1,1,48.0,57.56
NA,WP_014162194.1,1,50.0,54.84
NA,WP_014162195.1,1,50.0,51.97
NA,WP_014162196.1,1,47.0,61.18
NA,WP_014162197.1,1,49.0,55.48
NA,WP_014162198.1,1,52.0,63.05
ilvD,WP_014162199.1,1,53.0,57.17
NA,WP_014162200.1,1,50.0,56.8
NA,WP_014162201.1,1,49.0,63.98
NA,WP_014162202.1,1,51.0,61.32
NA,WP_014162203.1,1,51.0,61.54
NA,WP_014162204.1,1,50.0,62.88
NA,WP_052299847.1,1,48.0,55.68
NA,WP_014162206.1,1,48.0,55.15
NA,WP_014162207.1,1,49.0,55.65
phoU,WP_014162208.1,1,48.0,61.57
pstB,WP_014162209.1,1,51.0,63.82
pstA,WP_014162210.1,1,52.0,53.79
pstC,WP_014162211.1,1,52.0,60.64
NA,WP_014162212.1,1,54.0,62.74
NA,WP_014162213.1,1,45.0,45.51
NA,WP_014162214.1,1,44.0,43.72
NA,WP_014162215.1,1,45.0,42.78
NA,WP_148256385.1,1,45.0,41.11
NA,WP_148256290.1,1,39.0,43.33
NA,WP_014162218.1,1,48.0,64.02
NA,WP_014162219.1,1,55.00000000000001,66.1
NA,WP_014162220.1,1,51.0,44.19
yedE,WP_014162221.1,1,52.0,53.39
NA,WP_014162222.1,1,49.0,62.5
NA,WP_014162224.1,1,51.0,62.85
NA,WP_014162225.1,1,48.0,57.86
NA,WP_014162226.1,1,48.0,58.99
NA,WP_014162227.1,1,51.0,64.46
NA,WP_014162228.1,1,50.0,62.5
NA,WP_014162229.1,1,49.0,57.72
sdaAA,WP_014162230.1,1,55.00000000000001,57.95
sdaAB,WP_014162231.1,1,55.00000000000001,60.19
NA,WP_014162232.1,1,48.0,58.9
NA,WP_014162233.1,1,52.0,59.73
rmuC,WP_014162234.1,1,50.0,59.49
NA,WP_014162235.1,1,50.0,60.06
NA,WP_014162236.1,1,55.00000000000001,68.75
NA,WP_014162237.1,1,51.0,60.17
NA,WP_014162238.1,1,52.0,64.73
NA,WP_148256291.1,1,49.0,55.4
NA,WP_014162240.1,1,54.0,63.19
flgL,WP_014162241.1,1,52.0,55.96
flhB,WP_052299849.1,1,50.0,58.07
NA,WP_014162243.1,1,46.0,53.28
NA,WP_014162244.1,1,49.0,53.12
fliF,WP_014162245.1,1,53.0,58.93
fliG,WP_014162246.1,1,51.0,64.29
NA,WP_041445682.1,1,46.0,52.38
fliI,WP_014162248.1,1,51.0,56.62
fliJ,WP_014162249.1,1,41.0,50.0
NA,WP_014162250.1,1,46.0,46.91
NA,WP_148256292.1,1,47.0,52.85
flhA,WP_041445683.1,1,49.0,54.82
NA,WP_014162253.1,1,46.0,51.74
NA,WP_169311573.1,1,42.0,42.86
NA,WP_014162255.1,1,47.0,51.07
NA,WP_014162256.1,1,46.0,49.07
NA,WP_280101473.1,1,50.0,55.6
NA,WP_014162258.1,1,46.0,46.7
NA,WP_169311574.1,1,50.0,54.72
NA,WP_014162259.1,1,48.0,54.12
flgB,WP_014162260.1,1,51.0,62.7
flgC,WP_014162261.1,1,52.0,54.76
flgF,WP_014162262.1,1,53.0,57.79
fliN,WP_014162263.1,1,49.0,49.76
NA,WP_014162264.1,1,41.0,52.81
NA,WP_014162265.1,1,48.0,55.61
NA,WP_014162266.1,1,48.0,53.09
NA,WP_014162267.1,1,50.0,54.17
NA,WP_081468132.1,1,46.0,52.34
NA,WP_014162269.1,1,48.0,54.29
NA,WP_014162270.1,1,44.0,42.04
fliP,WP_014162271.1,1,48.0,57.72
NA,WP_014162272.1,1,47.0,56.96
NA,WP_014162273.1,1,47.0,59.04
NA,WP_014162274.1,1,44.0,46.41
NA,WP_014162275.1,1,47.0,55.1
fliM,WP_014162276.1,1,48.0,54.89
NA,WP_014162277.1,1,52.0,58.22
fliD,WP_041445853.1,1,51.0,62.26
NA,WP_014162279.1,1,48.0,46.77
fliS,WP_148256293.1,1,50.0,61.7
flgK,WP_014162281.1,1,49.0,55.42
flgA,WP_014162282.1,1,48.0,50.0
NA,WP_014162283.1,1,52.0,60.44
NA,WP_014162284.1,1,54.0,57.06
