gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_152021939.1,2,40.0,36.79
NA,WP_151965936.1,1,39.0,36.46
NA,WP_151965937.1,1,39.0,37.2
NA,WP_173013041.1,1,40.0,38.61
NA,WP_151965939.1,1,41.0,38.33
NA,WP_151965940.1,1,36.0,31.8
NA,WP_151965941.1,1,39.0,30.27
NA,WP_173013042.1,1,39.0,38.42
NA,WP_151965943.1,1,42.0,40.7
gltS,WP_151965944.1,1,44.0,46.06
NA,WP_173013043.1,1,49.0,30.07
NA,WP_151965946.1,1,34.0,30.91
NA,WP_151965947.1,1,39.0,34.62
NA,WP_151965948.1,1,40.0,37.76
NA,WP_151965949.1,1,41.0,39.18
NA,WP_151965950.1,1,41.0,42.02
NA,WP_151965951.1,1,36.0,28.34
NA,WP_261343946.1,1,41.0,35.89
NA,WP_151965953.1,1,34.0,33.33
NA,WP_151965954.1,1,37.0,34.91
NA,WP_151965955.1,1,43.0,40.35
NA,WP_151965956.1,1,42.0,40.34
NA,WP_151965957.1,1,40.0,38.58
NA,WP_151965958.1,1,41.0,38.08
NA,WP_151965959.1,1,36.0,33.18
NA,WP_151965960.1,1,37.0,30.99
NA,WP_151965961.1,1,37.0,38.1
NA,WP_151965962.1,1,39.0,34.05
NA,WP_151965963.1,1,36.0,39.29
NA,WP_151965964.1,1,35.0,31.91
NA,WP_151965965.1,1,39.0,36.02
NA,WP_151965966.1,1,37.0,39.84
NA,WP_151965967.1,1,38.0,40.0
NA,WP_151965968.1,1,40.0,39.87
wecB,WP_151965969.1,1,40.0,37.68
NA,WP_151965970.1,1,42.0,40.45
NA,WP_151965971.1,1,38.0,43.42
NA,WP_151965972.1,1,43.0,45.32
NA,WP_151965973.1,1,45.0,45.28
NA,WP_151965974.1,1,38.0,37.01
NA,WP_173013045.1,1,40.0,41.5
NA,WP_229759339.1,1,40.0,38.85
NA,WP_151965976.1,1,42.0,41.25
fadJ,WP_151965977.1,1,43.0,38.52
NA,WP_151965978.1,1,44.0,35.97
NA,WP_151965979.1,1,40.0,39.65
NA,WP_151965980.1,1,42.0,43.2
truD,WP_151965981.1,1,40.0,34.87
NA,WP_151965982.1,1,38.0,29.78
NA,WP_151965983.1,1,34.0,31.61
NA,WP_151965984.1,1,37.0,32.48
NA,WP_173013046.1,1,38.0,33.07
NA,WP_151965986.1,1,38.0,34.63
NA,WP_151965987.1,1,43.0,35.63
NA,WP_151965988.1,1,40.0,39.93
NA,WP_151965989.1,1,40.0,41.67
NA,WP_173013047.1,1,41.0,41.65
NA,WP_151965991.1,1,39.0,34.09
NA,WP_261343948.1,1,46.0,47.22
NA,WP_151965992.1,1,42.0,40.8
NA,WP_151965993.1,1,40.0,40.86
NA,WP_151965994.1,1,41.0,40.81
NA,WP_151965995.1,1,40.0,36.62
NA,WP_151965996.1,1,42.0,41.13
NA,WP_151965997.1,1,39.0,37.26
NA,WP_151965998.1,1,41.0,41.73
NA,WP_151965999.1,1,42.0,45.88
