gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_232408237.1,2,67.0,78.57
NA,WP_232408238.1,1,69.0,84.27
NA,WP_232408239.1,1,52.0,59.1
NA,WP_232408240.1,1,65.0,84.0
NA,WP_232408241.1,1,63.0,82.76
NA,WP_232408242.1,1,62.0,85.79
NA,WP_232408243.1,1,68.0,82.05
NA,WP_232408244.1,1,73.0,80.26
NA,WP_232408245.1,1,67.0,84.07
NA,WP_232408246.1,1,67.0,82.02
zwf,WP_232408247.1,1,68.0,85.66
NA,WP_232408248.1,1,66.0,89.85
ltrA,WP_232407872.1,1,65.0,81.38
NA,WP_232408249.1,1,52.0,55.71
NA,WP_232408250.1,1,64.0,81.25
NA,WP_232408251.1,1,56.00000000000001,68.67
NA,WP_232408252.1,1,63.0,71.6
NA,WP_232408253.1,1,68.0,86.2
rbbA,WP_232410654.1,1,67.0,88.35
NA,WP_232408254.1,1,64.0,87.95
NA,WP_232408255.1,1,65.0,79.2
NA,WP_232408256.1,1,60.0,88.46
NA,WP_232408257.1,1,60.0,75.0
NA,WP_232408258.1,1,68.0,81.05
NA,WP_232408259.1,1,60.0,71.72
NA,WP_232408260.1,1,66.0,83.33
NA,WP_232408261.1,1,70.0,80.36
NA,WP_232408262.1,1,67.0,78.02
NA,WP_269752162.1,1,60.0,74.19
NA,WP_232408263.1,1,69.0,84.77
NA,WP_232410655.1,1,67.0,80.87
NA,WP_232408264.1,1,71.0,81.54
NA,WP_232408265.1,1,60.0,77.42
NA,WP_269752159.1,1,66.0,84.83
NA,WP_232408267.1,1,65.0,72.48
NA,WP_232408268.1,1,65.0,78.92
NA,WP_232408269.1,1,56.99999999999999,69.38
NA,WP_232408270.1,1,51.0,58.76
NA,WP_232408271.1,1,57.99999999999999,71.88
NA,WP_232408272.1,1,50.0,59.81
aprA,WP_232408273.1,1,60.0,77.87
aprB,WP_232408274.1,1,59.0,73.51
NA,WP_232410656.1,1,59.0,79.14
NA,WP_232408275.1,1,56.99999999999999,63.29
NA,WP_232408276.1,1,64.0,81.86
NA,WP_232408277.1,1,64.0,78.89
NA,WP_232408278.1,1,64.0,83.51
NA,WP_232408279.1,1,67.0,82.67
NA,WP_232408280.1,1,65.0,82.61
