gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_006784533.1,1,31.0,20.7
spoIIAB,WP_006784532.1,1,36.0,21.48
spoIIAA,WP_006784531.1,1,34.0,26.85
NA,WP_006784530.1,1,35.0,20.53
NA,WP_132942603.1,1,36.0,21.7
NA,WP_229040032.1,1,28.999999999999996,30.23
NA,WP_006784527.1,1,28.999999999999996,18.18
NA,WP_006784526.1,1,26.0,18.46
NA,WP_006784525.1,1,34.0,25.0
NA,WP_006784524.1,1,31.0,23.68
NA,WP_006784523.1,1,33.0,15.69
NA,WP_006784522.1,1,33.0,25.1
NA,WP_006784521.1,1,34.0,30.09
ssb,WP_006784520.1,1,36.0,24.17
NA,WP_262941973.1,1,32.0,21.2
NA,WP_238843605.1,1,28.999999999999996,17.81
NA,WP_129821275.1,1,31.0,22.17
NA,WP_230311891.1,1,36.0,24.46
deoD,WP_009606972.1,1,35.0,21.15
deoC,WP_006784515.1,1,38.0,18.96
NA,WP_006784514.1,1,32.0,29.18
NA,WP_055163584.1,1,32.0,25.43
msrA,WP_006784512.1,1,35.0,24.38
NA,WP_006784511.1,1,35.0,21.95
NA,WP_055164393.1,1,39.0,27.87
NA,WP_006785678.1,1,32.0,27.64
NA,WP_006785677.1,1,32.0,27.04
NA,WP_006785676.1,1,35.0,29.79
NA,WP_132942903.1,1,36.0,34.05
NA,WP_132942904.1,1,34.0,30.02
NA,WP_132942905.1,1,33.0,32.5
NA,WP_132942906.1,1,33.0,29.64
NA,WP_006784207.1,1,34.0,28.57
NA,WP_006784208.1,1,35.0,26.9
NA,WP_006784209.1,1,33.0,24.62
NA,WP_006784210.1,1,32.0,27.33
NA,WP_006784211.1,1,31.0,24.36
NA,WP_132942907.1,1,35.0,29.42
NA,WP_229059750.1,1,34.0,30.1
NA,WP_006784214.1,1,32.0,27.51
NA,WP_009606944.1,1,32.0,24.76
NA,WP_006784216.1,1,28.000000000000004,19.69
NA,WP_132942908.1,1,28.999999999999996,22.54
NA,WP_238843607.1,1,34.0,22.26
NA,WP_132942909.1,1,33.0,21.2
NA,WP_006784220.1,1,32.0,23.16
aspS,WP_132942910.1,1,36.0,19.62
hisS,WP_009606939.1,1,36.0,16.96
dtd,WP_055163562.1,1,34.0,23.36
NA,WP_132942911.1,1,35.0,25.8
NA,WP_006784225.1,1,36.0,19.25
recJ,WP_132942912.1,1,35.0,25.27
spoVB,WP_006784227.1,1,36.0,34.87
NA,WP_006784228.1,1,33.0,25.58
NA,WP_006784229.1,1,36.0,28.21
yajC,WP_006784294.1,1,39.0,23.08
tgt,WP_006784293.1,1,38.0,24.39
queA,WP_006784292.1,1,36.0,21.02
ruvB,WP_211101836.1,1,40.0,22.84
NA,WP_129821269.1,1,38.0,29.31
ruvA,WP_006784290.1,1,35.0,23.66
NA,WP_039930827.1,1,34.0,23.17
NA,WP_132942913.1,1,36.0,30.43
NA,WP_040763902.1,1,32.0,31.43
NA,WP_006784287.1,1,35.0,26.35
NA,WP_055163554.1,1,36.0,30.31
NA,WP_006784285.1,1,31.0,18.48
NA,WP_006784284.1,1,37.0,24.88
NA,WP_132942914.1,1,35.0,26.11
NA,WP_006784282.1,1,33.0,19.41
NA,WP_132942915.1,1,32.0,29.92
NA,WP_129821268.1,1,34.0,24.15
NA,WP_006784279.1,1,38.0,28.34
NA,WP_006784278.1,1,36.0,29.17
NA,WP_006784277.1,1,28.999999999999996,23.38
NA,WP_006784276.1,1,36.0,21.59
NA,WP_132942916.1,1,36.0,24.63
NA,WP_132942917.1,1,32.0,21.48
NA,WP_006784275.1,1,31.0,21.82
NA,WP_006784274.1,1,34.0,29.46
NA,WP_006784273.1,1,36.0,18.09
NA,WP_006784272.1,1,36.0,25.62
NA,WP_055163545.1,1,34.0,24.3
NA,WP_132942918.1,1,37.0,29.05
NA,WP_055163539.1,1,37.0,26.53
NA,WP_132942919.1,1,35.0,28.28
NA,WP_009606150.1,1,28.999999999999996,22.22
NA,WP_170837654.1,1,34.0,15.86
NA,WP_006785768.1,1,32.0,25.19
NA,WP_132943026.1,1,36.0,27.29
NA,WP_006785770.1,1,36.0,27.38
NA,WP_006785771.1,1,35.0,15.79
NA,WP_006785772.1,1,36.0,21.78
NA,WP_238843609.1,1,35.0,27.17
NA,WP_006785774.1,1,37.0,34.38
NA,WP_006785775.1,1,35.0,25.66
