gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_231938940.1,1,61.0,77.78
NA,WP_231939183.1,1,61.0,75.0
rplU,WP_092101582.1,1,56.99999999999999,80.65
rpmA,WP_009884168.1,1,61.0,68.92
NA,WP_092101578.1,1,61.0,74.74
NA,WP_092101584.1,1,61.0,82.44
NA,WP_231938940.1,1,61.0,77.78
NA,WP_231938943.1,1,63.0,76.18
NA,WP_092101587.1,1,60.0,85.99
ndk,WP_092101590.1,1,65.0,74.22
NA,WP_092101595.1,1,63.0,84.82
NA,WP_092101598.1,1,65.0,79.47
ileS,WP_092101601.1,1,63.0,82.76
NA,WP_092101604.1,1,66.0,76.45
NA,WP_231938944.1,1,63.0,79.95
valS,WP_092101607.1,1,63.0,79.36
NA,WP_092101609.1,1,62.0,83.64
NA,WP_092101612.1,1,63.0,80.71
clpX,WP_092108590.1,1,59.0,78.04
NA,WP_092101615.1,1,63.0,85.29
NA,WP_092101618.1,1,60.0,80.95
tig,WP_092101621.1,1,62.0,77.38
NA,WP_092101627.1,1,64.0,74.87
NA,WP_092101630.1,1,66.0,74.79
NA,WP_092101633.1,1,65.0,79.73
NA,WP_092101635.1,1,64.0,78.65
pepN,WP_092101638.1,1,63.0,80.09
NA,WP_231938945.1,1,62.0,81.54
NA,WP_092101640.1,1,63.0,82.26
NA,WP_092101643.1,1,67.0,76.28
NA,WP_231938946.1,1,62.0,73.56
NA,WP_092101650.1,1,65.0,78.16
NA,WP_231938947.1,1,56.00000000000001,76.12
ettA,WP_092101652.1,1,60.0,76.59
NA,WP_092101655.1,1,63.0,69.87
NA,WP_092101657.1,1,65.0,74.74
NA,WP_092101660.1,1,62.0,73.89
NA,WP_231938948.1,1,63.0,75.36
NA,WP_092101663.1,1,59.0,71.19
NA,WP_092101666.1,1,64.0,71.58
NA,WP_092101669.1,1,65.0,75.19
NA,WP_092101673.1,1,63.0,73.41
nucS,WP_092101676.1,1,61.0,76.58
murA,WP_092101679.1,1,64.0,77.8
NA,WP_092101682.1,1,61.0,69.18
NA,WP_092101685.1,1,61.0,64.94
atpD,WP_092101688.1,1,63.0,84.99
NA,WP_092101691.1,1,62.0,76.74
atpA,WP_092101694.1,1,62.0,77.38
NA,WP_092108600.1,1,62.0,68.34
NA,WP_092101697.1,1,61.0,71.84
atpE,WP_025776917.1,1,65.0,78.46
atpB,WP_231938949.1,1,56.99999999999999,80.46
NA,WP_092101701.1,1,61.0,78.42
NA,WP_092101704.1,1,63.0,82.78
NA,WP_092101707.1,1,65.0,77.29
prmC,WP_092108604.1,1,65.0,77.62
prfA,WP_092101710.1,1,64.0,74.57
rho,WP_092101713.1,1,63.0,76.68
thrB,WP_092108606.1,1,65.0,72.16
thrC,WP_092101717.1,1,66.0,83.85
NA,WP_092101720.1,1,67.0,82.48
