gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_157720199.1,1,75.0,85.03
NA,WP_091408350.1,1,76.0,98.38
NA,WP_091408354.1,1,69.0,96.25
NA,WP_231930231.1,1,79.0,89.13
NA,WP_231930717.1,1,73.0,94.56
NA,WP_231930225.1,1,73.0,98.06
NA,WP_091408358.1,1,75.0,97.01
pknB,WP_091408362.1,1,74.0,97.98
NA,WP_091408365.1,1,73.0,99.15
NA,WP_231930233.1,1,72.0,97.15
NA,WP_091408368.1,1,76.0,98.19
NA,WP_091408371.1,1,72.0,97.33
NA,WP_091408375.1,1,74.0,98.34
NA,WP_091408379.1,1,76.0,98.01
NA,WP_091408383.1,1,74.0,99.0
NA,WP_091408388.1,1,75.0,97.49
NA,WP_091408391.1,1,69.0,98.03
NA,WP_091408395.1,1,70.0,97.99
NA,WP_231930235.1,1,69.0,98.61
NA,WP_091408399.1,1,76.0,97.84
NA,WP_091408403.1,1,73.0,98.07
mmuM,WP_091408409.1,1,79.0,96.64
NA,WP_197677140.1,1,77.0,97.5
NA,WP_091408413.1,1,83.0,95.16
NA,WP_091408417.1,1,77.0,96.24
NA,WP_091408420.1,1,75.0,96.48
efeB,WP_091408424.1,1,75.0,97.04
NA,WP_091408427.1,1,72.0,98.48
NA,WP_091408429.1,1,73.0,95.07
NA,WP_091408433.1,1,77.0,98.78
NA,WP_091408436.1,1,80.0,98.31
NA,WP_091416335.1,1,75.0,99.07
aat,WP_091408440.1,1,76.0,98.17
NA,WP_091408442.1,1,73.0,100.0
NA,WP_197677141.1,1,76.0,96.77
NA,WP_280949239.1,1,74.0,96.47
NA,WP_091408449.1,1,74.0,98.47
NA,WP_091408452.1,1,78.0,98.04
mptB,WP_172825995.1,1,73.0,97.84
add,WP_091408456.1,1,75.0,96.66
NA,WP_091408459.1,1,76.0,97.38
NA,WP_157720200.1,1,75.0,96.77
NA,WP_091408462.1,1,81.0,91.46
NA,WP_091408466.1,1,72.0,97.22
pheA,WP_091408469.1,1,74.0,96.67
NA,WP_091408474.1,1,75.0,99.08
serS,WP_091408478.1,1,73.0,97.83
NA,WP_172826156.1,1,74.0,98.78
NA,WP_091408485.1,1,75.0,97.39
NA,WP_091408489.1,1,80.0,98.04
crtY,WP_091408492.1,1,76.0,98.17
NA,WP_091416342.1,1,73.0,94.77
NA,WP_091408496.1,1,75.0,97.71
NA,WP_091408499.1,1,74.0,98.42
NA,WP_091408503.1,1,74.0,95.37
NA,WP_091408507.1,1,75.0,91.52
selB,WP_091408510.1,1,80.0,97.27
