gene_name,prot_id,number_of_exons,GC,GC3
nifH,WP_031595775.1,1,56.99999999999999,71.38
nifD,WP_031595776.1,1,53.0,68.49
nifK,WP_031595779.1,1,54.0,67.0
NA,WP_031595780.1,1,47.0,48.54
NA,WP_062188072.1,1,52.0,57.5
nifE,WP_031595783.1,1,50.0,54.44
NA,WP_273120416.1,1,46.0,55.41
NA,WP_031595787.1,1,44.0,50.0
modA,WP_273120419.1,1,47.0,46.83
NA,WP_031595789.1,1,45.0,53.45
modB,WP_031595791.1,1,50.0,51.89
NA,WP_062188074.1,1,48.0,47.66
NA,WP_062188075.1,1,48.0,52.34
NA,WP_273120423.1,1,47.0,44.44
NA,WP_273120424.1,1,47.0,52.53
NA,WP_273120427.1,1,56.00000000000001,59.54
NA,WP_031597317.1,1,57.99999999999999,51.52
NA,WP_273120430.1,1,55.00000000000001,56.54
NA,WP_031597200.1,1,55.00000000000001,70.97
NA,WP_031597199.1,1,56.00000000000001,63.39
NA,WP_031597198.1,1,53.0,53.82
NA,WP_031597197.1,1,57.99999999999999,58.31
aroC,WP_031597196.1,1,59.0,59.55
NA,WP_051862261.1,1,56.00000000000001,60.06
leuC,WP_273120436.1,1,57.99999999999999,62.88
leuD,WP_031597190.1,1,48.0,46.31
NA,WP_273120438.1,1,54.0,63.91
NA,WP_062188079.1,1,56.00000000000001,54.86
NA,WP_273120441.1,1,55.00000000000001,56.93
NA,WP_062188080.1,1,56.00000000000001,55.45
NA,WP_051862702.1,1,52.0,58.11
NA,WP_273120445.1,1,47.0,54.62
NA,WP_273120447.1,1,55.00000000000001,63.76
NA,WP_273120449.1,1,52.0,58.52
NA,WP_031598050.1,1,52.0,59.87
NA,WP_082783207.1,1,50.0,50.82
NA,WP_273120453.1,1,59.0,68.37
NA,WP_273120454.1,1,52.0,61.04
NA,WP_273120456.1,1,50.0,56.6
NA,WP_273120458.1,1,56.99999999999999,54.0
tnpB,WP_273120460.1,1,59.0,68.82
NA,WP_273122321.1,1,54.0,65.12
NA,WP_273120462.1,1,59.0,68.92
NA,WP_273120464.1,1,55.00000000000001,66.56
NA,WP_273120466.1,1,53.0,64.77
NA,WP_273120468.1,1,50.0,52.73
NA,WP_031598936.1,1,53.0,47.19
NA,WP_197456551.1,1,51.0,53.09
NA,WP_273120473.1,1,53.0,54.29
NA,WP_273120476.1,1,52.0,62.75
NA,WP_273120478.1,1,55.00000000000001,56.46
NA,WP_273120481.1,1,55.00000000000001,54.26
NA,WP_273120483.1,1,52.0,57.31
NA,WP_273120485.1,1,56.99999999999999,70.0
NA,WP_031599569.1,1,59.0,62.5
NA,WP_273120489.1,1,48.0,51.92
NA,WP_031599509.1,1,50.0,59.32
NA,WP_031599510.1,1,59.0,60.92
NA,WP_273120492.1,1,54.0,55.22
NA,WP_273120494.1,1,55.00000000000001,63.44
radC,WP_273120496.1,1,52.0,55.26
NA,WP_273120499.1,1,55.00000000000001,55.84
NA,WP_273120501.1,1,56.99999999999999,64.13
tnpA,WP_031598455.1,1,44.0,50.79
trbL,WP_273120503.1,1,55.00000000000001,56.54
NA,WP_273120504.1,1,57.99999999999999,69.91
NA,WP_273120505.1,1,57.99999999999999,56.52
NA,WP_273120506.1,1,48.0,58.33
ggpS,WP_273120507.1,1,52.0,54.99
NA,WP_273120508.1,1,52.0,59.76
NA,WP_273120509.1,1,54.0,63.3
NA,WP_273120510.1,1,53.0,65.38
NA,WP_031595217.1,1,50.0,47.63
NA,WP_062188176.1,1,44.0,40.0
NA,WP_273120511.1,1,57.99999999999999,70.85
NA,WP_273120512.1,1,50.0,53.49
NA,WP_273120513.1,1,57.99999999999999,69.84
NA,WP_273120514.1,1,56.99999999999999,70.1
NA,WP_273120515.1,1,53.0,52.87
NA,WP_273120516.1,1,53.0,66.32
NA,WP_273120517.1,1,52.0,55.03
NA,WP_273120518.1,1,54.0,57.26
NA,WP_273120519.1,1,53.0,62.01
NA,WP_273120520.1,1,55.00000000000001,59.09
NA,WP_273120521.1,1,43.0,39.62
NA,WP_273120522.1,1,48.0,36.81
NA,WP_273120523.1,1,43.0,40.07
NA,WP_031596347.1,1,53.0,61.6
NA,WP_273120524.1,1,45.0,37.68
NA,WP_273120525.1,1,46.0,37.85
NA,WP_273120526.1,1,41.0,29.06
NA,WP_273120527.1,1,60.0,80.98
NA,WP_273120528.1,1,62.0,76.82
trbB,WP_273120529.1,1,56.99999999999999,60.78
NA,WP_273120530.1,1,53.0,53.29
NA,WP_273120531.1,1,57.99999999999999,70.67
hxsC,WP_273120532.1,1,49.0,55.64
hxsB,WP_273120533.1,1,50.0,59.54
