gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_267950581.1,1,74.0,96.16
dnaN,WP_267947356.1,1,72.0,97.03
gnd,WP_267947357.1,1,74.0,97.94
recF,WP_267947358.1,1,74.0,95.92
NA,WP_267950582.1,1,71.0,85.61
gyrB,WP_267947359.1,1,68.0,97.33
gyrA,WP_267947360.1,1,69.0,97.92
NA,WP_267947361.1,1,71.0,93.39
NA,WP_267947362.1,1,72.0,96.66
NA,WP_267947363.1,1,72.0,98.76
NA,WP_267947364.1,1,75.0,97.41
NA,WP_267947365.1,1,77.0,95.89
NA,WP_267947366.1,1,72.0,97.73
NA,WP_267947367.1,1,71.0,96.88
NA,WP_267947368.1,1,74.0,96.96
NA,WP_267947369.1,1,73.0,98.55
NA,WP_267947370.1,1,73.0,98.9
NA,WP_267947371.1,1,70.0,98.43
NA,WP_267947372.1,1,72.0,97.21
NA,WP_267947373.1,1,69.0,97.2
NA,WP_267950583.1,1,79.0,93.71
NA,WP_267947374.1,1,68.0,97.61
fdh,WP_267947375.1,1,72.0,97.47
NA,WP_267950584.1,1,73.0,96.98
nrfD,WP_267947376.1,1,79.0,95.89
NA,WP_267947377.1,1,78.0,93.62
NA,WP_267947378.1,1,64.0,82.69
NA,WP_267947379.1,1,66.0,75.18
NA,WP_267947380.1,1,75.0,82.11
NA,WP_267947381.1,1,78.0,88.03
NA,WP_267947382.1,1,71.0,94.59
NA,WP_267947383.1,1,76.0,92.45
NA,WP_267947384.1,1,67.0,97.44
pdhA,WP_267947385.1,1,75.0,97.44
NA,WP_267947386.1,1,73.0,98.44
NA,WP_267947387.1,1,76.0,94.55
NA,WP_267950585.1,1,72.0,96.55
NA,WP_267947388.1,1,76.0,97.34
NA,WP_267947389.1,1,70.0,88.7
NA,WP_267947390.1,1,68.0,90.1
NA,WP_267947391.1,1,66.0,85.14
paaZ,WP_267947392.1,1,73.0,98.21
NA,WP_267947393.1,1,74.0,91.11
NA,WP_267947394.1,1,76.0,97.11
NA,WP_267947395.1,1,76.0,96.93
NA,WP_267947396.1,1,77.0,95.99
NA,WP_267947397.1,1,76.0,95.3
NA,WP_267947398.1,1,76.0,96.35
NA,WP_267947399.1,1,73.0,97.1
NA,WP_267947400.1,1,71.0,94.08
NA,WP_267947401.1,1,73.0,94.78
NA,WP_267947402.1,1,75.0,97.27
NA,WP_267950586.1,1,76.0,89.19
NA,WP_267947403.1,1,69.0,95.1
NA,WP_267950589.1,1,61.0,84.38
NA,WP_267947404.1,1,69.0,92.47
NA,WP_267947405.1,1,71.0,92.54
NA,WP_014912962.1,1,72.0,93.55
NA,WP_267947406.1,1,71.0,95.92
NA,WP_267950196.1,1,75.0,92.0
NA,WP_276567179.1,1,73.0,86.61
NA,WP_267947407.1,1,71.0,92.65
NA,WP_267947408.1,1,76.0,94.02
NA,WP_267947409.1,1,66.0,96.36
NA,WP_267947410.1,1,72.0,95.62
NA,WP_267947411.1,1,62.0,88.0
pknB,WP_267947412.1,1,72.0,96.88
NA,WP_267947413.1,1,72.0,90.95
NA,WP_267947414.1,1,70.0,96.85
NA,WP_267947415.1,1,68.0,95.87
NA,WP_267947416.1,1,72.0,97.05
NA,WP_276567180.1,1,67.0,90.86
NA,WP_267950197.1,1,70.0,92.62
