gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_039615622.1,1,63.0,85.59
dnaN,WP_023848824.1,1,65.0,87.05
recF,WP_023848825.1,1,72.0,88.17
gyrB,WP_023848826.1,1,64.0,86.31
NA,WP_039615624.1,1,65.0,85.54
NA,WP_023848828.1,1,69.0,85.65
NA,WP_023848829.1,1,69.0,80.28
NA,WP_039615625.1,1,70.0,87.78
NA,WP_251374157.1,1,68.0,88.73
NA,WP_251374158.1,1,66.0,86.62
NA,WP_023848833.1,1,69.0,88.86
NA,WP_023848834.1,1,60.0,89.13
NA,WP_052260041.1,1,68.0,86.72
NA,WP_023848837.1,1,66.0,92.05
NA,WP_251374159.1,1,70.0,85.39
qhpC,WP_251374160.1,1,73.0,82.98
peaB,WP_023850799.1,1,66.0,88.93
NA,WP_023850800.1,1,64.0,81.54
peaA,WP_251374161.1,1,70.0,86.83
NA,WP_023850802.1,1,71.0,91.69
NA,WP_023850803.1,1,67.0,88.46
NA,WP_023850804.1,1,65.0,92.77
NA,WP_023850805.1,1,66.0,92.86
NA,WP_031322615.1,1,66.0,89.1
NA,WP_039615629.1,1,69.0,90.41
NA,WP_023850808.1,1,69.0,88.56
NA,WP_039615630.1,1,68.0,90.32
NA,WP_039615827.1,1,67.0,89.39
guaD,WP_023850811.1,1,68.0,85.52
NA,WP_023850812.1,1,68.0,91.59
xdhC,WP_023850813.1,1,70.0,86.64
xdhB,WP_039615633.1,1,67.0,87.43
xdhA,WP_039615634.1,1,70.0,87.84
NA,WP_031322619.1,1,68.0,87.04
NA,WP_023850818.1,1,66.0,86.49
NA,WP_023850819.1,1,71.0,87.58
NA,WP_023850820.1,1,69.0,84.68
NA,WP_023850821.1,1,66.0,80.84
NA,WP_023850822.1,1,57.99999999999999,69.49
NA,WP_023850823.1,1,68.0,77.11
NA,WP_023850824.1,1,65.0,79.77
NA,WP_023850825.1,1,68.0,80.09
NA,WP_023850826.1,1,69.0,85.85
NA,WP_023850827.1,1,68.0,81.65
fliF,WP_023850828.1,1,68.0,82.86
NA,WP_023850829.1,1,64.0,80.41
NA,WP_023850830.1,1,67.0,88.24
fliP,WP_023850831.1,1,65.0,85.11
NA,WP_023850832.1,1,70.0,87.34
NA,WP_023850833.1,1,69.0,89.9
NA,WP_023850834.1,1,68.0,88.55
NA,WP_031322625.1,1,71.0,89.36
