gene_name,prot_id,number_of_exons,GC,GC3
lolA,WP_101896144.1,2,51.0,63.05
NA,WP_101896145.1,1,54.0,59.05
crcB,WP_101892270.1,1,52.0,64.41
serS,WP_101892271.1,1,54.0,57.89
cysG,WP_101892272.1,1,54.0,54.25
NA,WP_101892273.1,1,52.0,61.7
NA,WP_233716749.1,1,52.0,54.41
NA,WP_101892274.1,1,54.0,58.82
tusB,WP_101892275.1,1,55.00000000000001,56.98
tusC,WP_101892276.1,1,54.0,64.22
tusD,WP_101892277.1,1,57.99999999999999,63.64
NA,WP_101892278.1,1,50.0,58.26
uvrY,WP_101892279.1,1,52.0,56.94
uvrC,WP_101892280.1,1,52.0,57.14
pgsA,WP_233716753.1,1,53.0,60.53
NA,WP_101892282.1,1,50.0,60.64
NA,WP_101892283.1,1,49.0,58.68
NA,WP_158643229.1,1,46.0,44.59
NA,WP_158643230.1,1,49.0,53.94
NA,WP_101892286.1,1,50.0,53.29
ubiG,WP_101892287.1,1,49.0,53.33
ppnN,WP_101892288.1,1,50.0,54.14
NA,WP_101892289.1,1,48.0,51.16
NA,WP_158643231.1,1,49.0,52.23
NA,WP_101892291.1,1,46.0,44.9
NA,WP_101892292.1,1,43.0,41.85
NA,WP_158643232.1,1,48.0,43.71
NA,WP_101892294.1,1,44.0,44.49
NA,WP_199767981.1,1,43.0,47.46
NA,WP_101892295.1,1,46.0,49.54
NA,WP_101892296.1,1,48.0,51.65
NA,WP_101892297.1,1,52.0,51.7
NA,WP_101892298.1,1,49.0,54.59
NA,WP_101892299.1,1,50.0,49.44
NA,WP_158643233.1,1,52.0,51.18
NA,WP_101892301.1,1,48.0,51.95
NA,WP_101892302.1,1,47.0,44.1
NA,WP_101892303.1,1,49.0,50.3
NA,WP_101892304.1,1,48.0,50.42
NA,WP_101892305.1,1,47.0,47.39
NA,WP_101892306.1,1,47.0,50.58
prsR,WP_101892307.1,1,52.0,57.69
prsK,WP_101892308.1,1,48.0,55.44
NA,WP_158643234.1,1,51.0,61.27
meaB,WP_101892310.1,1,55.00000000000001,65.05
scpA,WP_101892311.1,1,56.99999999999999,66.52
eda,WP_158643235.1,1,56.99999999999999,66.84
edd,WP_101892313.1,1,55.00000000000001,63.58
pgl,WP_101892314.1,1,53.0,61.57
zwf,WP_101892315.1,1,53.0,63.41
galU,WP_101892316.1,1,49.0,54.48
pgi,WP_199767982.1,1,53.0,61.02
NA,WP_101892318.1,1,53.0,58.64
galE,WP_101892319.1,1,54.0,60.92
NA,WP_101892320.1,1,51.0,57.28
gspE,WP_101892321.1,1,53.0,57.46
gspF,WP_101892322.1,1,53.0,62.47
gspG,WP_101892323.1,1,53.0,54.74
gspH,WP_101892324.1,1,49.0,55.75
gspI,WP_158643236.1,1,51.0,60.94
gspJ,WP_101892326.1,1,55.00000000000001,62.87
