gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_228489015.1,2,66.0,81.59
NA,WP_228489016.1,1,62.0,80.0
NA,WP_228489017.1,1,68.0,87.5
NA,WP_277872986.1,1,66.0,87.1
NA,WP_228489018.1,1,69.0,85.71
NA,WP_228489019.1,1,67.0,86.9
NA,WP_228489020.1,1,68.0,80.0
NA,WP_228489021.1,1,69.0,85.0
NA,WP_228489022.1,1,67.0,86.59
NA,WP_228489023.1,1,71.0,76.24
NA,WP_228489024.1,1,61.0,87.5
NA,WP_228489025.1,1,65.0,80.65
NA,WP_228489026.1,1,62.0,87.46
NA,WP_228489027.1,1,63.0,85.37
NA,WP_153570847.1,1,55.00000000000001,57.01
NA,WP_228489028.1,1,65.0,77.77
NA,WP_153570849.1,1,61.0,67.86
NA,WP_153570850.1,1,59.0,65.97
NA,WP_153570851.1,1,61.0,77.27
NA,WP_153570852.1,1,70.0,77.37
istA,WP_153570853.1,1,71.0,88.96
istB,WP_194793193.1,1,66.0,90.69
NA,WP_228489369.1,1,63.0,68.0
NA,WP_153573528.1,1,70.0,88.32
NA,WP_194793194.1,1,66.0,76.03
NA,WP_153570856.1,1,69.0,88.64
NA,WP_153570857.1,1,71.0,89.85
NA,WP_153570858.1,1,69.0,89.81
NA,WP_194793195.1,1,68.0,92.77
glpK,WP_153570860.1,1,69.0,94.59
NA,WP_153570861.1,1,67.0,96.55
NA,WP_194793196.1,1,67.0,92.81
NA,WP_153570863.1,1,68.0,92.08
NA,WP_228489029.1,1,65.0,94.26
NA,WP_194793197.1,1,66.0,95.24
NA,WP_153570864.1,1,74.0,87.21
NA,WP_153570865.1,1,74.0,90.35
NA,WP_153570866.1,1,77.0,83.0
NA,WP_153570867.1,1,67.0,87.86
NA,WP_153570868.1,1,66.0,94.13
NA,WP_153570869.1,1,67.0,87.16
NA,WP_153570870.1,1,70.0,92.96
NA,WP_153570871.1,1,69.0,91.67
NA,WP_153570872.1,1,68.0,92.39
NA,WP_153570873.1,1,70.0,90.84
NA,WP_228489030.1,1,66.0,92.08
NA,WP_153570874.1,1,70.0,92.72
NA,WP_153570875.1,1,72.0,87.94
NA,WP_153570876.1,1,72.0,94.38
NA,WP_153570877.1,1,69.0,92.57
pepN,WP_153570878.1,1,71.0,93.75
NA,WP_153570879.1,1,73.0,90.57
NA,WP_153570880.1,1,74.0,92.8
NA,WP_153570881.1,1,69.0,88.17
pyrR,WP_228489031.1,1,71.0,89.07
NA,WP_153570883.1,1,73.0,90.31
NA,WP_228489370.1,1,67.0,93.39
NA,WP_228489032.1,1,73.0,93.45
NA,WP_194793198.1,1,71.0,92.91
NA,WP_153570886.1,1,68.0,92.81
NA,WP_153570888.1,1,65.0,92.94
NA,WP_153570889.1,1,71.0,92.31
NA,WP_153570890.1,1,69.0,94.74
dmpG,WP_153570891.1,1,69.0,95.89
NA,WP_153570892.1,1,69.0,90.66
ettA,WP_153570893.1,1,66.0,92.56
NA,WP_153570894.1,1,70.0,86.98
