gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_041458903.1,1,55.00000000000001,69.12
dnaN,WP_012818159.1,1,59.0,66.39
recF,WP_012818160.1,1,57.99999999999999,69.34
NA,WP_012818161.1,1,53.0,64.86
gyrB,WP_012818162.1,1,60.0,74.96
gyrA,WP_012818163.1,1,63.0,78.06
pdxS,WP_012818164.1,1,65.0,82.04
pdxT,WP_041458904.1,1,60.0,69.06
NA,WP_012818166.1,1,62.0,74.6
serA,WP_012818167.1,1,61.0,77.61
serS,WP_012818168.1,1,62.0,76.08
NA,WP_012818169.1,1,63.0,85.56
NA,WP_012818171.1,1,60.0,73.44
NA,WP_012818172.1,1,63.0,82.86
NA,WP_012818174.1,1,57.99999999999999,83.33
NA,WP_012818176.1,1,60.0,74.07
NA,WP_012818177.1,1,60.0,72.13
NA,WP_012818178.1,1,62.0,78.9
NA,WP_156779807.1,1,65.0,76.35
NA,WP_012818180.1,1,64.0,79.54
NA,WP_012818181.1,1,66.0,80.1
NA,WP_041458719.1,1,56.00000000000001,66.67
NA,WP_012818184.1,1,55.00000000000001,70.15
scfA,WP_012818185.1,1,64.0,86.11
scfB,WP_012818186.1,1,59.0,71.56
NA,WP_049757070.1,1,60.0,68.84
NA,WP_169302507.1,1,57.99999999999999,72.19
NA,WP_012818189.1,1,66.0,75.0
NA,WP_012818190.1,1,57.99999999999999,82.86
NA,WP_012818191.1,1,61.0,86.43
NA,WP_012818192.1,1,59.0,84.38
cobB,WP_012818193.1,1,64.0,75.17
cutA,WP_012818194.1,1,65.0,78.79
nfi,WP_012818195.1,1,64.0,74.19
NA,WP_012818196.1,1,63.0,78.29
NA,WP_012818197.1,1,59.0,67.2
NA,WP_012818198.1,1,56.99999999999999,66.67
sleB,WP_049757180.1,1,67.0,82.86
NA,WP_049757071.1,1,64.0,82.55
NA,WP_049757072.1,1,60.0,75.0
NA,WP_012818200.1,1,54.0,60.4
NA,WP_012818201.1,1,61.0,75.62
NA,WP_012818202.1,1,55.00000000000001,61.35
NA,WP_012818203.1,1,64.0,86.27
NA,WP_012818204.1,1,62.0,79.34
NA,WP_012818205.1,1,60.0,78.2
argS,WP_012818206.1,1,61.0,75.5
NA,WP_012818207.1,1,62.0,76.95
sppA,WP_012818208.1,1,62.0,74.56
NA,WP_012818209.1,1,56.99999999999999,64.65
NA,WP_245528000.1,1,64.0,76.29
NA,WP_012818211.1,1,59.0,73.36
NA,WP_012818212.1,1,63.0,78.06
fsa,WP_012818213.1,1,60.0,72.73
rho,WP_245527917.1,1,61.0,77.35
NA,WP_169302508.1,1,56.99999999999999,80.16
NA,WP_012818216.1,1,60.0,70.97
rpmE,WP_012818217.1,1,57.99999999999999,73.68
NA,WP_012818218.1,1,59.0,66.08
prfA,WP_012818219.1,1,62.0,81.21
prmC,WP_012818220.1,1,62.0,67.63
nhaA,WP_012818221.1,1,56.00000000000001,65.9
NA,WP_012818222.1,1,62.0,80.43
NA,WP_012818223.1,1,67.0,72.95
NA,WP_012818224.1,1,63.0,73.56
NA,WP_012818225.1,1,60.0,68.97
rpiB,WP_012818226.1,1,57.99999999999999,67.14
glyA,WP_277996046.1,1,61.0,75.8
NA,WP_012818228.1,1,60.0,69.28
NA,WP_012818229.1,1,59.0,69.79
wecB,WP_012818230.1,1,60.0,68.11
NA,WP_012818231.1,1,55.00000000000001,57.97
NA,WP_012818232.1,1,59.0,68.25
atpB,WP_012818233.1,1,56.00000000000001,76.72
atpE,WP_277996047.1,1,60.0,76.67
atpF,WP_041458914.1,1,59.0,75.0
atpH,WP_015738135.1,1,57.99999999999999,72.25
atpA,WP_015738136.1,1,60.0,77.91
atpG,WP_015738137.1,1,62.0,78.06
atpD,WP_015738138.1,1,63.0,85.19
NA,WP_041458915.1,1,67.0,83.58
spoIID,WP_015738140.1,1,63.0,76.07
spoIIID,WP_015738141.1,1,55.00000000000001,68.24
NA,WP_169302509.1,1,62.0,68.94
NA,WP_015738143.1,1,56.99999999999999,68.08
NA,WP_015738144.1,1,60.0,66.99
NA,WP_015738145.1,1,62.0,69.96
NA,WP_015738146.1,1,56.99999999999999,66.09
NA,WP_015738147.1,1,60.0,64.0
NA,WP_015738148.1,1,54.0,59.22
NA,WP_245528001.1,1,57.99999999999999,70.48
NA,WP_015738150.1,1,61.0,77.05
NA,WP_015738151.1,1,57.99999999999999,70.34
NA,WP_015738152.1,1,66.0,77.62
NA,WP_015738153.1,1,61.0,72.34
NA,WP_015738154.1,1,59.0,70.14
NA,WP_211204575.1,1,56.00000000000001,68.86
NA,WP_245527918.1,1,62.0,71.49
csaB,WP_015738157.1,1,61.0,71.79
NA,WP_015738158.1,1,61.0,72.46
NA,WP_015738159.1,1,61.0,70.11
NA,WP_015738160.1,1,59.0,66.49
NA,WP_049757073.1,1,60.0,71.81
NA,WP_083774208.1,1,55.00000000000001,62.5
NA,WP_083774209.1,1,54.0,60.0
NA,WP_015738161.1,1,48.0,40.1
NA,WP_245527919.1,1,42.0,40.2
NA,WP_015738163.1,1,47.0,31.3
NA,WP_169302511.1,1,45.0,50.71
NA,WP_015738165.1,1,48.0,47.76
NA,WP_015738166.1,1,45.0,43.97
NA,WP_015738167.1,1,56.00000000000001,61.67
NA,WP_015738168.1,1,57.99999999999999,68.35
coaD,WP_015738169.1,1,55.00000000000001,71.34
rsmD,WP_015738170.1,1,59.0,70.0
NA,WP_015738172.1,1,60.0,69.44
NA,WP_211204576.1,1,60.0,73.87
NA,WP_015738174.1,1,62.0,75.86
NA,WP_211204577.1,1,55.00000000000001,62.73
NA,WP_015738175.1,1,59.0,71.98
NA,WP_015738176.1,1,60.0,79.46
NA,WP_245527920.1,1,54.0,56.1
gpr,WP_015738177.1,1,59.0,71.66
NA,WP_015738178.1,1,65.0,82.09
recG,WP_015738179.1,1,59.0,67.01
NA,WP_277996028.1,1,52.0,68.57
NA,WP_015738180.1,1,54.0,62.89
rpsU,WP_015738181.1,1,61.0,71.43
yqfC,WP_015738182.1,1,56.99999999999999,73.81
NA,WP_015738175.1,1,59.0,71.98
NA,WP_015738183.1,1,60.0,79.46
yqfD,WP_015738184.1,1,57.99999999999999,64.04
NA,WP_245527921.1,1,60.0,77.7
NA,WP_169302512.1,1,59.0,70.75
ybeY,WP_015738187.1,1,61.0,71.43
cdd,WP_015738188.1,1,60.0,64.96
era,WP_015738189.1,1,59.0,75.26
NA,WP_015738190.1,1,56.99999999999999,67.6
NA,WP_245527922.1,1,59.0,61.64
NA,WP_015738191.1,1,56.99999999999999,62.25
NA,WP_015738192.1,1,56.00000000000001,70.25
NA,WP_015738193.1,1,62.0,72.49
thiE,WP_169302513.1,1,63.0,69.88
thiC,WP_015738195.1,1,64.0,76.0
thiL,WP_015738196.1,1,60.0,66.97
tsaE,WP_015738197.1,1,57.99999999999999,66.89
tsaB,WP_015738198.1,1,61.0,62.56
rimI,WP_015738199.1,1,55.00000000000001,68.03
tsaD,WP_015738200.1,1,59.0,66.97
NA,WP_015738201.1,1,62.0,70.91
NA,WP_015738202.1,1,56.99999999999999,63.47
NA,WP_015738203.1,1,51.0,55.84
NA,WP_015738204.1,1,61.0,80.89
NA,WP_169302514.1,1,55.00000000000001,58.06
fdhF,WP_041458931.1,1,59.0,69.72
NA,WP_041458731.1,1,59.0,71.88
nuoE,WP_015738208.1,1,63.0,77.86
NA,WP_015738209.1,1,56.00000000000001,61.58
groES,WP_015738210.1,1,57.99999999999999,72.94
groL,WP_015738211.1,1,62.0,83.77
cysK,WP_015738212.1,1,62.0,71.96
NA,WP_041458933.1,1,61.0,72.37
iorA,WP_015738214.1,1,61.0,71.48
NA,WP_015738215.1,1,63.0,73.08
NA,WP_015738216.1,1,61.0,76.83
NA,WP_015738217.1,1,61.0,72.39
ytxC,WP_015738218.1,1,57.99999999999999,69.78
NA,WP_015738219.1,1,63.0,76.72
NA,WP_015738220.1,1,57.99999999999999,73.15
NA,WP_015738221.1,1,56.00000000000001,67.67
atoS,WP_049757077.1,1,59.0,71.96
NA,WP_015738223.1,1,59.0,73.57
NA,WP_015738224.1,1,59.0,74.81
NA,WP_015738225.1,1,61.0,75.5
NA,WP_015738226.1,1,56.99999999999999,80.15
NA,WP_015738227.1,1,60.0,77.01
NA,WP_015738228.1,1,61.0,70.73
rplU,WP_015738229.1,1,61.0,84.95
rpmA,WP_015738230.1,1,64.0,80.77
NA,WP_015738231.1,1,62.0,71.34
NA,WP_015738232.1,1,64.0,73.79
NA,WP_015738233.1,1,61.0,69.27
NA,WP_015738234.1,1,55.00000000000001,63.23
obgE,WP_015738235.1,1,63.0,71.81
proB,WP_015738236.1,1,62.0,75.55
NA,WP_015738237.1,1,55.00000000000001,69.68
NA,WP_015738238.1,1,62.0,76.59
nadD,WP_015738240.1,1,59.0,70.17
NA,WP_015738241.1,1,65.0,75.64
rsfS,WP_211204578.1,1,56.00000000000001,67.97
NA,WP_015738243.1,1,59.0,73.54
NA,WP_015738244.1,1,53.0,62.93
NA,WP_245528003.1,1,55.00000000000001,62.33
NA,WP_169302516.1,1,56.00000000000001,66.27
NA,WP_015738247.1,1,56.99999999999999,69.44
NA,WP_015738248.1,1,60.0,71.8
NA,WP_015738249.1,1,59.0,67.69
NA,WP_041458732.1,1,57.99999999999999,64.39
NA,WP_015738250.1,1,61.0,71.38
NA,WP_211204579.1,1,59.0,71.56
NA,WP_015738252.1,1,62.0,75.37
NA,WP_015738253.1,1,59.0,71.92
NA,WP_015738254.1,1,62.0,78.77
speE,WP_015738255.1,1,59.0,77.61
speB,WP_015738256.1,1,63.0,74.73
mnmA,WP_211204611.1,1,60.0,70.48
NA,WP_015738258.1,1,60.0,77.94
rnr,WP_015738259.1,1,64.0,80.45
rplM,WP_015738260.1,1,62.0,81.2
rpsI,WP_015738261.1,1,63.0,78.69
NA,WP_169302517.1,1,61.0,71.31
NA,WP_015738263.1,1,62.0,83.15
NA,WP_211204612.1,1,63.0,85.39
NA,WP_015738265.1,1,60.0,72.61
NA,WP_015738266.1,1,65.0,79.34
amrA,WP_015738267.1,1,65.0,77.15
amrS,WP_015738268.1,1,56.99999999999999,72.56
ilvE,WP_041458939.1,1,59.0,76.33
ilvD,WP_015738270.1,1,65.0,76.1
ilvB,WP_015738271.1,1,62.0,79.56
ilvN,WP_015738272.1,1,62.0,78.71
ilvC,WP_015738273.1,1,64.0,84.42
NA,WP_015738274.1,1,64.0,83.91
leuC,WP_015738275.1,1,64.0,83.01
NA,WP_015738276.1,1,64.0,78.57
cimA,WP_015738277.1,1,65.0,87.33
glmM,WP_015738278.1,1,64.0,76.67
glmS,WP_015738279.1,1,65.0,80.4
NA,WP_015738280.1,1,63.0,76.96
NA,WP_015738281.1,1,56.99999999999999,68.75
NA,WP_015738282.1,1,63.0,83.33
NA,WP_015738283.1,1,57.99999999999999,77.42
NA,WP_015738284.1,1,59.0,75.1
NA,WP_015738285.1,1,63.0,81.47
NA,WP_015738286.1,1,60.0,79.69
NA,WP_015738287.1,1,62.0,79.44
NA,WP_015738288.1,1,61.0,71.43
NA,WP_015738289.1,1,63.0,64.47
NA,WP_015738290.1,1,62.0,83.77
NA,WP_015738291.1,1,62.0,80.36
flgM,WP_015738292.1,1,64.0,81.11
NA,WP_041458738.1,1,63.0,73.2
NA,WP_041458739.1,1,59.0,71.29
flgK,WP_015738295.1,1,53.0,59.54
flgL,WP_015738296.1,1,59.0,72.82
NA,WP_015738297.1,1,59.0,64.04
NA,WP_041458943.1,1,56.99999999999999,69.35
NA,WP_015738299.1,1,60.0,70.36
NA,WP_041458740.1,1,61.0,75.73
fliD,WP_015738301.1,1,55.00000000000001,67.99
fliS,WP_015738302.1,1,60.0,78.23
NA,WP_015738303.1,1,56.99999999999999,62.89
NA,WP_015738304.1,1,53.0,54.77
NA,WP_211204580.1,1,62.0,78.29
NA,WP_015738306.1,1,59.0,84.03
rfbB,WP_245527923.1,1,61.0,80.37
NA,WP_041458945.1,1,62.0,69.62
NA,WP_015738309.1,1,60.0,66.9
NA,WP_015738311.1,1,56.99999999999999,61.43
NA,WP_015738312.1,1,63.0,83.23
NA,WP_015738313.1,1,55.00000000000001,57.97
NA,WP_211204581.1,1,59.0,71.59
NA,WP_015738314.1,1,57.99999999999999,67.14
NA,WP_049757078.1,1,62.0,85.9
NA,WP_169302518.1,1,60.0,60.47
NA,WP_041458741.1,1,73.0,76.54
NA,WP_041458742.1,1,64.0,85.87
NA,WP_245527955.1,1,63.0,81.86
NA,WP_156779813.1,1,57.99999999999999,66.13
NA,WP_245527956.1,1,62.0,83.55
NA,WP_245527874.1,1,63.0,84.88
NA,WP_015738319.1,1,62.0,83.43
NA,WP_015738320.1,1,66.0,82.15
NA,WP_015738321.1,1,51.0,52.25
NA,WP_015738322.1,1,54.0,54.93
NA,WP_015738323.1,1,66.0,80.47
NA,WP_015738326.1,1,67.0,88.94
NA,WP_015738327.1,1,62.0,72.35
NA,WP_015738328.1,1,61.0,76.19
NA,WP_015738329.1,1,67.0,78.69
NA,WP_015738330.1,1,61.0,72.78
NA,WP_015738331.1,1,63.0,83.15
NA,WP_015738332.1,1,64.0,85.25
hybB,WP_015738333.1,1,60.0,81.65
ltrA,WP_245527924.1,1,64.0,79.46
NA,WP_211204614.1,1,64.0,85.14
NA,WP_015738336.1,1,63.0,74.58
NA,WP_015738337.1,1,56.00000000000001,69.95
NA,WP_169302520.1,1,57.99999999999999,70.79
NA,WP_015738339.1,1,60.0,69.1
NA,WP_015738340.1,1,52.0,68.49
NA,WP_015738341.1,1,60.0,73.15
NA,WP_015738342.1,1,64.0,75.56
NA,WP_041458744.1,1,60.0,68.82
purE,WP_041458956.1,1,60.0,58.82
purB,WP_245527925.1,1,61.0,79.85
NA,WP_015738349.1,1,59.0,78.45
purF,WP_277996029.1,1,64.0,79.66
purM,WP_015738351.1,1,63.0,78.04
purH,WP_015738352.1,1,63.0,79.68
purD,WP_015738353.1,1,63.0,75.06
hisD,WP_015738354.1,1,68.0,84.62
hisB,WP_015738355.1,1,60.0,70.27
hisH,WP_041458746.1,1,59.0,71.28
hisA,WP_015738357.1,1,62.0,74.06
hisF,WP_015738358.1,1,61.0,70.37
hisIE,WP_015738359.1,1,61.0,80.26
NA,WP_015738360.1,1,62.0,68.09
