gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_281291707.1,1,70.0,85.71
NA,WP_165359960.1,1,68.0,89.36
NA,WP_129557131.1,1,53.0,54.84
NA,WP_129557132.1,1,38.0,34.9
NA,WP_082188115.1,1,61.0,63.01
NA,WP_129557133.1,1,66.0,81.43
NA,WP_109138309.1,1,68.0,86.08
NA,WP_088123915.1,2,68.0,82.24
NA,WP_158310381.1,1,66.0,82.04
NA,WP_186466524.1,1,65.0,70.0
NA,WP_014239178.1,1,71.0,79.17
NA,WP_014239177.1,1,66.0,70.97
NA,WP_014239175.1,1,61.0,76.6
NA,WP_082188116.1,1,54.0,52.29
NA,WP_129557134.1,1,55.00000000000001,55.29
NA,WP_014239171.1,1,67.0,76.09
NA,WP_014239168.1,1,70.0,78.43
NA,WP_014239166.1,1,71.0,90.95
NA,WP_014239165.1,1,69.0,80.65
NA,WP_014239163.1,1,69.0,86.84
NA,WP_129557135.1,1,42.0,45.58
NA,WP_281291707.1,1,70.0,85.71
NA,WP_165359960.1,1,68.0,89.36
NA,WP_129557136.1,1,44.0,41.86
NA,WP_129557137.1,1,38.0,34.95
NA,WP_082188115.1,1,61.0,63.01
NA,WP_129557133.1,1,66.0,81.43
NA,WP_109138309.1,1,68.0,86.08
NA,WP_088123915.1,2,68.0,82.24
NA,WP_014239139.1,1,73.0,90.66
NA,WP_014239138.1,1,75.0,85.16
NA,WP_014239136.1,1,71.0,94.9
NA,WP_014239135.1,1,69.0,95.47
NA,WP_014239134.1,1,69.0,94.34
NA,WP_162471575.1,1,68.0,95.83
NA,WP_246119780.1,1,76.0,90.54
tagF,WP_014239131.1,1,76.0,95.12
tssM,WP_109138312.1,1,74.0,94.34
icmH,WP_109138313.1,1,78.0,95.43
NA,WP_014239128.1,1,77.0,87.9
NA,WP_014239127.1,1,56.00000000000001,72.34
NA,WP_014239126.1,1,73.0,96.36
msrB,WP_244439380.1,1,69.0,94.53
NA,WP_014239124.1,1,74.0,93.61
NA,WP_014239123.1,1,71.0,94.19
NA,WP_014239122.1,1,72.0,88.35
NA,WP_014239121.1,1,75.0,83.87
NA,WP_014239120.1,1,76.0,89.02
NA,WP_014239119.1,1,65.0,90.94
NA,WP_041810860.1,1,69.0,93.89
NA,WP_014239117.1,1,74.0,96.6
NA,WP_014239116.1,1,71.0,91.23
NA,WP_041810859.1,1,72.0,96.79
NA,WP_041811387.1,1,71.0,95.29
NA,WP_014239114.1,1,69.0,93.94
NA,WP_014239113.1,1,66.0,95.82
NA,WP_014239112.1,1,71.0,88.37
NA,WP_014239111.1,1,65.0,92.19
NA,WP_014239110.1,1,74.0,88.19
NA,WP_014239109.1,1,76.0,93.65
NA,WP_014239108.1,1,74.0,94.17
NA,WP_244439342.1,1,69.0,91.92
NA,WP_014239106.1,1,68.0,89.78
NA,WP_014239105.1,1,72.0,87.07
NA,WP_014239104.1,1,72.0,93.5
NA,WP_014239103.1,1,80.0,83.87
pspC,WP_014239102.1,1,66.0,85.48
pspB,WP_014239101.1,1,64.0,87.88
pspA,WP_014239100.1,1,69.0,97.2
NA,WP_014239099.1,1,72.0,92.31
pspF,WP_014239098.1,1,73.0,93.52
NA,WP_014239097.1,1,68.0,93.62
NA,WP_014239096.1,1,72.0,92.31
NA,WP_014239095.1,1,74.0,93.84
NA,WP_014239094.1,1,65.0,88.46
NA,WP_014239093.1,1,69.0,93.1
NA,WP_014239092.1,1,65.0,93.54
NA,WP_014239090.1,1,66.0,92.6
groL,WP_014239089.1,1,67.0,94.05
groES,WP_014239088.1,1,64.0,89.66
NA,WP_014239086.1,1,66.0,88.46
NA,WP_014239085.1,1,69.0,91.56
NA,WP_109138315.1,1,71.0,93.94
NA,WP_014239081.1,1,69.0,93.75
phaZ,WP_014239080.1,1,70.0,94.96
NA,WP_052584212.1,1,73.0,96.17
NA,WP_014239077.1,1,73.0,91.81
NA,WP_109138316.1,1,79.0,92.04
NA,WP_014239075.1,1,80.0,95.31
NA,WP_109138317.1,1,78.0,93.56
NA,WP_041810852.1,1,71.0,95.24
NA,WP_109138318.1,1,72.0,93.83
NA,WP_014239071.1,1,71.0,92.51
NA,WP_014239070.1,1,71.0,93.42
NA,WP_014239069.1,1,63.0,90.73
NA,WP_014239067.1,1,68.0,89.81
aceA,WP_014239066.1,1,67.0,96.39
NA,WP_014239063.1,1,66.0,85.96
NA,WP_145644877.1,1,71.0,90.64
NA,WP_014239061.1,1,71.0,93.21
NA,WP_014239060.1,1,71.0,93.09
NA,WP_014239059.1,1,70.0,97.05
NA,WP_014239058.1,1,68.0,94.05
NA,WP_041810850.1,1,69.0,91.07
NA,WP_014239056.1,1,68.0,89.73
NA,WP_014239055.1,1,67.0,92.59
NA,WP_014239054.1,1,74.0,91.95
NA,WP_014239051.1,1,63.0,86.0
gpt,WP_014239049.1,1,65.0,88.54
NA,WP_109138319.1,1,75.0,97.01
NA,WP_109138320.1,1,73.0,94.77
NA,WP_014239045.1,1,70.0,94.53
NA,WP_014239044.1,1,70.0,95.4
NA,WP_014239043.1,1,73.0,91.22
NA,WP_014239042.1,1,70.0,90.36
NA,WP_014239041.1,1,68.0,92.42
NA,WP_014239040.1,1,70.0,94.34
NA,WP_041810848.1,1,73.0,95.01
glnK,WP_014239038.1,1,65.0,93.2
NA,WP_014239037.1,1,70.0,94.35
