gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_173269059.1,1,45.0,43.95
dnaN,WP_173269061.1,1,46.0,50.0
NA,WP_173269064.1,1,45.0,49.83
recF,WP_173269066.1,1,48.0,47.61
NA,WP_243830852.1,1,44.0,49.57
gyrB,WP_173269068.1,1,47.0,48.06
NA,WP_173269070.1,1,47.0,44.7
NA,WP_173269073.1,1,46.0,48.51
NA,WP_173269075.1,1,44.0,35.71
NA,WP_173269077.1,1,38.0,42.62
NA,WP_173269087.1,1,48.0,52.21
tnpB,WP_173269090.1,1,45.0,51.38
NA,WP_173269093.1,1,47.0,45.56
NA,WP_173269095.1,1,52.0,57.01
NA,WP_173269099.1,1,49.0,49.02
pgl,WP_173269102.1,1,47.0,45.73
zwf,WP_173269112.1,1,46.0,45.66
gnd,WP_173269114.1,1,45.0,42.86
NA,WP_173269115.1,1,44.0,31.14
NA,WP_197905416.1,1,46.0,46.37
NA,WP_173269117.1,1,42.0,32.77
NA,WP_197905417.1,1,47.0,48.41
NA,WP_173269119.1,1,46.0,43.59
NA,WP_243830905.1,1,45.0,43.43
NA,WP_173269123.1,1,49.0,46.54
NA,WP_173269125.1,1,41.0,36.94
NA,WP_243830853.1,1,45.0,37.27
NA,WP_173269127.1,1,36.0,27.63
NA,WP_173274195.1,1,48.0,50.28
NA,WP_173269129.1,1,43.0,43.06
nhaA,WP_197905418.1,1,42.0,37.69
NA,WP_173269131.1,1,39.0,33.33
NA,WP_173269133.1,1,38.0,31.67
NA,WP_173269135.1,1,46.0,41.58
NA,WP_173269137.1,1,38.0,41.35
NA,WP_173269140.1,1,47.0,45.72
NA,WP_173269142.1,1,43.0,44.44
ccsB,WP_173269144.1,1,47.0,53.4
NA,WP_173269146.1,1,40.0,37.82
yihA,WP_173269148.1,1,43.0,38.54
NA,WP_173269150.1,1,40.0,37.83
polA,WP_173269152.1,1,44.0,39.61
NA,WP_173269154.1,1,45.0,42.35
NA,WP_173269156.1,1,48.0,39.31
NA,WP_173269159.1,1,48.0,43.87
NA,WP_173269161.1,1,43.0,41.98
hemF,WP_173269163.1,1,46.0,39.47
NA,WP_173269165.1,1,47.0,39.81
NA,WP_197905419.1,1,44.0,37.8
NA,WP_197905420.1,1,45.0,43.76
NA,WP_173269167.1,1,47.0,44.25
NA,WP_173269169.1,1,49.0,48.11
NA,WP_173269171.1,1,45.0,50.0
NA,WP_173269173.1,1,45.0,46.84
NA,WP_173269175.1,1,48.0,49.81
NA,WP_173269177.1,1,48.0,43.9
NA,WP_173269179.1,1,47.0,47.73
NA,WP_173269181.1,1,41.0,39.37
NA,WP_173269183.1,1,40.0,38.54
NA,WP_173269185.1,1,50.0,60.11
NA,WP_173269189.1,2,46.0,46.56
NA,WP_173269191.1,1,49.0,47.57
NA,WP_173269099.1,1,49.0,49.02
NA,WP_173269095.1,1,52.0,57.01
NA,WP_173269193.1,1,42.0,35.9
NA,WP_173269195.1,1,43.0,45.56
NA,WP_173269197.1,1,46.0,48.94
NA,WP_173269200.1,1,44.0,43.89
NA,WP_173269202.1,1,44.0,46.93
NA,WP_173269204.1,1,45.0,46.62
NA,WP_173269206.1,1,46.0,44.07
NA,WP_279585869.1,1,47.0,43.53
NA,WP_173269210.1,1,45.0,43.3
