gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_171266206.1,1,62.0,82.34
NA,WP_244963609.1,1,70.0,84.3
NA,WP_171266207.1,1,70.0,87.08
NA,WP_171266208.1,1,67.0,90.61
NA,WP_171266209.1,1,66.0,90.57
NA,WP_144305010.1,1,52.0,65.52
NA,WP_144305009.1,1,55.00000000000001,72.41
NA,WP_144305008.1,1,54.0,71.43
NA,WP_171266210.1,1,61.0,85.16
NA,WP_144305006.1,1,65.0,93.12
NA,WP_144305005.1,1,59.0,88.7
NA,WP_144305004.1,1,63.0,87.68
NA,WP_171266211.1,1,63.0,91.67
NA,WP_171266212.1,1,62.0,85.04
NA,WP_144305001.1,1,64.0,71.33
NA,WP_171266213.1,1,69.0,91.53
NA,WP_171266214.1,1,67.0,93.02
pstB,WP_216367962.1,1,64.0,94.56
NA,WP_144304997.1,1,62.0,88.53
pstA,WP_144304996.1,1,65.0,90.7
pstC,WP_235896565.1,1,64.0,92.07
NA,WP_171266215.1,1,62.0,91.3
rnr,WP_171266216.1,1,66.0,91.44
NA,WP_171266217.1,1,65.0,86.95
NA,WP_171266218.1,1,60.0,78.48
NA,WP_144304991.1,1,55.00000000000001,71.26
NA,WP_144304990.1,1,59.0,74.17
rfbD,WP_144304989.1,1,66.0,91.2
rfbB,WP_171266219.1,1,62.0,89.43
NA,WP_144304987.1,1,60.0,80.27
NA,WP_171266220.1,1,61.0,67.1
NA,WP_171266221.1,1,67.0,84.93
NA,WP_171266222.1,1,66.0,85.68
ilvD,WP_171266223.1,1,66.0,88.65
NA,WP_144304982.1,1,63.0,83.18
NA,WP_167512413.1,1,61.0,81.58
NA,WP_171266224.1,1,64.0,82.47
fdrA,WP_171266225.1,1,66.0,84.25
NA,WP_144304977.1,1,57.99999999999999,86.11
NA,WP_171266226.1,1,66.0,90.28
NA,WP_171266227.1,1,65.0,91.05
NA,WP_171266228.1,1,44.0,49.11
NA,WP_171266229.1,1,57.99999999999999,79.93
NA,WP_144304972.1,1,51.0,63.6
NA,WP_171266230.1,1,61.0,87.68
NA,WP_171266231.1,1,66.0,84.0
NA,WP_171266232.1,1,67.0,81.71
NA,WP_171266233.1,1,57.99999999999999,64.94
NA,WP_144304968.1,1,63.0,76.58
NA,WP_216367921.1,1,68.0,92.76
NA,WP_171266235.1,1,69.0,85.81
NA,WP_171266236.1,1,66.0,87.39
NA,WP_144304964.1,1,64.0,87.23
NA,WP_144304963.1,1,56.99999999999999,86.61
NA,WP_144304962.1,1,64.0,89.46
NA,WP_144304961.1,1,67.0,84.75
NA,WP_171266237.1,1,55.00000000000001,68.3
NA,WP_171266238.1,1,66.0,83.22
NA,WP_244963611.1,1,69.0,85.87
NA,WP_171266240.1,1,60.0,84.21
NA,WP_171266241.1,1,64.0,87.94
NA,WP_171266242.1,1,69.0,83.21
NA,WP_171266243.1,1,62.0,77.37
NA,WP_244963613.1,1,64.0,75.77
NA,WP_171266245.1,1,64.0,77.27
NA,WP_171266246.1,1,69.0,85.19
NA,WP_144304950.1,1,64.0,81.08
NA,WP_171266247.1,1,68.0,81.34
NA,WP_171266248.1,1,67.0,90.18
NA,WP_171266249.1,1,68.0,88.74
NA,WP_171266250.1,1,65.0,79.46
NA,WP_144304945.1,1,51.0,69.17
NA,WP_144304944.1,1,56.99999999999999,72.58
NA,WP_144304943.1,1,62.0,83.21
NA,WP_144304942.1,1,66.0,90.48
NA,WP_144304941.1,1,64.0,76.87
NA,WP_144304940.1,1,66.0,90.48
NA,WP_144304939.1,1,65.0,92.36
NA,WP_144304938.1,1,65.0,86.18
NA,WP_171266251.1,1,68.0,88.26
NA,WP_171266252.1,1,70.0,93.6
NA,WP_171266253.1,1,70.0,82.5
NA,WP_171266254.1,1,71.0,85.82
NA,WP_171266255.1,1,70.0,86.34
NA,WP_144304932.1,1,66.0,83.49
NA,WP_171266256.1,1,64.0,71.94
NA,WP_171266257.1,1,67.0,80.0
NA,WP_144304929.1,1,66.0,86.98
mdoH,WP_244963615.1,1,67.0,89.97
NA,WP_144304928.1,1,64.0,88.6
NA,WP_144304927.1,1,59.0,77.97
NA,WP_144304926.1,1,62.0,82.4
NA,WP_171266258.1,1,64.0,85.95
NA,WP_171266259.1,1,65.0,84.54
NA,WP_216367922.1,1,68.0,86.21
NA,WP_144304923.1,1,67.0,86.08
NA,WP_171266260.1,1,64.0,83.7
NA,WP_144304921.1,1,68.0,88.17
