gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_196784457.1,1,60.0,67.89
NA,WP_145292487.1,1,53.0,62.14
dnaN,WP_145292489.1,1,59.0,69.15
NA,WP_145292491.1,1,55.00000000000001,60.61
NA,WP_145292493.1,1,57.99999999999999,63.67
NA,WP_196784458.1,1,55.00000000000001,62.22
NA,WP_145292495.1,1,59.0,65.2
NA,WP_145292497.1,1,60.0,69.14
ribA,WP_145292499.1,1,57.99999999999999,68.88
NA,WP_145292501.1,1,61.0,68.35
purL,WP_145292503.1,1,59.0,68.62
NA,WP_145292505.1,1,60.0,70.28
NA,WP_165700973.1,1,60.0,65.16
pta,WP_145292509.1,1,61.0,73.51
NA,WP_145292511.1,1,60.0,68.92
NA,WP_145292513.1,1,60.0,76.39
NA,WP_145292515.1,1,60.0,68.75
NA,WP_145292517.1,1,56.99999999999999,71.58
NA,WP_145292519.1,1,59.0,62.87
epmA,WP_145292521.1,1,57.99999999999999,65.81
NA,WP_145292524.1,1,54.0,61.74
NA,WP_145292526.1,1,56.99999999999999,69.46
NA,WP_196784459.1,1,56.00000000000001,63.79
NA,WP_145292530.1,1,57.99999999999999,63.66
NA,WP_145292532.1,1,60.0,66.38
NA,WP_196784460.1,1,55.00000000000001,69.44
NA,WP_145292534.1,1,56.99999999999999,63.29
NA,WP_145292536.1,1,57.99999999999999,67.84
NA,WP_145292538.1,1,62.0,67.37
NA,WP_145292540.1,1,57.99999999999999,66.98
NA,WP_145292542.1,1,56.00000000000001,65.52
NA,WP_145292544.1,1,56.99999999999999,66.95
NA,WP_145292546.1,1,60.0,61.17
hisI,WP_145292548.1,1,60.0,69.17
NA,WP_145304502.1,1,62.0,72.11
NA,WP_145292550.1,1,60.0,66.83
NA,WP_145292552.1,1,57.99999999999999,66.17
NA,WP_231131252.1,1,60.0,68.57
NA,WP_145292555.1,1,56.00000000000001,59.2
NA,WP_196784461.1,1,62.0,64.85
NA,WP_145292559.1,1,60.0,66.97
NA,WP_145292561.1,1,59.0,66.15
NA,WP_145292563.1,1,56.99999999999999,68.7
NA,WP_145304504.1,1,56.00000000000001,63.82
NA,WP_145292565.1,1,57.99999999999999,62.04
NA,WP_231131253.1,1,67.0,72.09
NA,WP_145292567.1,1,47.0,52.58
NA,WP_145292569.1,1,53.0,51.06
NA,WP_165700974.1,1,60.0,65.38
NA,WP_165700965.1,1,61.0,68.37
NA,WP_145292575.1,1,56.99999999999999,60.0
NA,WP_145292577.1,1,52.0,55.47
NA,WP_165700975.1,1,59.0,66.67
NA,WP_145292581.1,1,56.00000000000001,64.42
NA,WP_145292583.1,1,57.99999999999999,67.82
NA,WP_261342914.1,1,54.0,61.29
NA,WP_145292585.1,1,54.0,60.88
NA,WP_145292587.1,1,56.00000000000001,65.07
NA,WP_145292589.1,1,55.00000000000001,62.02
NA,WP_145292591.1,1,55.00000000000001,66.07
NA,WP_145292593.1,1,55.00000000000001,64.95
NA,WP_145292596.1,1,56.99999999999999,69.45
NA,WP_165700976.1,1,61.0,75.0
NA,WP_196784462.1,1,56.00000000000001,61.13
NA,WP_145292601.1,1,56.99999999999999,61.49
NA,WP_145292603.1,1,56.00000000000001,69.95
NA,WP_145292605.1,1,55.00000000000001,66.81
NA,WP_196784463.1,1,56.99999999999999,63.14
NA,WP_145292607.1,1,57.99999999999999,69.35
trpC,WP_145292609.1,1,57.99999999999999,68.8
purH,WP_145292611.1,1,59.0,68.86
NA,WP_145292613.1,1,61.0,70.11
