gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_166033022.1,2,43.0,45.09
dsrM,WP_166030970.1,1,50.0,53.67
NA,WP_166030971.1,1,49.0,57.12
dsrJ,WP_166030972.1,1,47.0,53.12
NA,WP_166030973.1,1,52.0,55.73
nrfD,WP_166030974.1,1,48.0,52.39
NA,WP_166030975.1,1,49.0,53.61
NA,WP_166030976.1,1,49.0,53.43
NA,WP_166030977.1,1,52.0,49.09
NA,WP_166030978.1,1,50.0,58.82
NA,WP_166030979.1,1,53.0,58.73
NA,WP_166030980.1,1,50.0,53.35
NA,WP_166030981.1,1,48.0,49.55
NA,WP_258557815.1,1,47.0,50.0
NA,WP_166030982.1,1,49.0,45.27
NA,WP_166030983.1,1,51.0,51.74
NA,WP_166030984.1,1,47.0,50.24
NA,WP_166030985.1,1,51.0,46.07
fliD,WP_166030986.1,1,49.0,50.86
fliT,WP_166030987.1,1,46.0,46.81
fliS,WP_181494242.1,1,45.0,51.2
NA,WP_166030989.1,1,55.00000000000001,64.36
NA,WP_166030990.1,1,48.0,51.96
NA,WP_166030991.1,1,50.0,53.25
NA,WP_166030992.1,1,51.0,51.68
NA,WP_166030993.1,1,49.0,45.15
asnB,WP_166030994.1,1,39.0,31.87
NA,WP_166030995.1,1,31.0,19.65
NA,WP_166030996.1,1,32.0,20.95
NA,WP_166030997.1,1,28.000000000000004,14.85
NA,WP_166030998.1,1,31.0,19.13
NA,WP_166030999.1,1,31.0,19.74
rsxC,WP_210412118.1,1,53.0,51.6
NA,WP_166031000.1,1,54.0,56.21
NA,WP_166031001.1,1,50.0,58.13
rsxE,WP_166031002.1,1,54.0,64.29
NA,WP_210412120.1,1,48.0,53.75
NA,WP_166031003.1,1,54.0,54.14
NA,WP_166031004.1,1,55.00000000000001,49.63
NA,WP_166031005.1,1,50.0,48.56
NA,WP_166031006.1,1,49.0,57.14
nuoB,WP_166031007.1,1,52.0,51.61
NA,WP_166031008.1,1,49.0,52.63
NA,WP_166031009.1,1,53.0,60.27
nuoH,WP_166031010.1,1,50.0,57.4
NA,WP_166031011.1,1,49.0,50.0
NA,WP_166031012.1,1,45.0,46.1
nuoK,WP_166031013.1,1,46.0,52.13
nuoL,WP_166031014.1,1,46.0,48.55
NA,WP_166031015.1,1,45.0,50.0
NA,WP_166031016.1,1,50.0,57.82
NA,WP_166031017.1,1,51.0,56.19
NA,WP_166031018.1,1,53.0,55.8
larC,WP_258557824.1,1,53.0,48.83
NA,WP_166031020.1,1,51.0,50.68
NA,WP_166031021.1,1,49.0,52.73
NA,WP_166031022.1,1,60.0,67.72
cbiE,WP_166031023.1,1,54.0,56.06
cbiD,WP_166031024.1,1,53.0,51.59
NA,WP_166031025.1,1,54.0,56.36
NA,WP_166031026.1,1,52.0,55.91
ftsY,WP_166031027.1,1,53.0,56.83
NA,WP_166031028.1,1,56.99999999999999,59.31
NA,WP_166031029.1,1,54.0,57.56
NA,WP_166031030.1,1,53.0,60.25
trkA,WP_166031031.1,1,53.0,57.82
NA,WP_166031032.1,1,53.0,57.61
murC,WP_166031033.1,1,55.00000000000001,55.46
NA,WP_166031034.1,1,56.00000000000001,61.15
NA,WP_166031035.1,1,52.0,71.21
NA,WP_210412122.1,1,54.0,57.63
NA,WP_166031036.1,1,52.0,56.15
NA,WP_166031037.1,1,53.0,56.49
ruvC,WP_166031038.1,1,51.0,51.92
ruvA,WP_166031039.1,1,51.0,50.55
ruvB,WP_166031040.1,1,55.00000000000001,58.23
panB,WP_166031041.1,1,53.0,52.03
NA,WP_166031042.1,1,50.0,51.03
NA,WP_166031043.1,1,50.0,43.63
pcnB,WP_166031044.1,1,51.0,51.57
nifA,WP_166031045.1,1,48.0,48.35
NA,WP_166031046.1,1,51.0,52.0
NA,WP_166031047.1,1,51.0,54.87
NA,WP_166031048.1,1,45.0,46.53
NA,WP_166031049.1,1,51.0,53.54
NA,WP_166031050.1,1,50.0,49.57
NA,WP_166031051.1,1,50.0,49.59
rgy,WP_166031052.1,1,52.0,50.92
NA,WP_166031053.1,1,52.0,48.72
NA,WP_166031054.1,1,52.0,52.87
NA,WP_166031055.1,1,45.0,44.68
NA,WP_166031056.1,1,50.0,47.74
NA,WP_166031057.1,1,45.0,44.89
NA,WP_166031058.1,1,48.0,45.59
NA,WP_166031059.1,1,49.0,50.25
NA,WP_166031060.1,1,48.0,44.54
NA,WP_210412127.1,1,51.0,51.98
NA,WP_166031062.1,1,51.0,53.37
NA,WP_166031063.1,1,53.0,46.07
NA,WP_166031064.1,1,56.99999999999999,48.86
NA,WP_166031065.1,1,46.0,46.39
NA,WP_166031066.1,1,47.0,46.33
NA,WP_166031067.1,1,42.0,44.68
NA,WP_166031068.1,1,47.0,48.61
NA,WP_210412129.1,1,51.0,48.68
NA,WP_166031070.1,1,49.0,50.66
NA,WP_166031071.1,1,49.0,49.25
NA,WP_166031072.1,1,53.0,57.07
NA,WP_166031073.1,1,53.0,55.89
NA,WP_166031074.1,1,52.0,54.71
NA,WP_166031075.1,1,51.0,53.25
NA,WP_166031076.1,1,50.0,54.46
recO,WP_210412130.1,1,52.0,49.62
NA,WP_166031078.1,1,49.0,47.76
NA,WP_166031079.1,1,49.0,51.74
mfd,WP_166031080.1,1,53.0,52.52
mazG,WP_166031081.1,1,52.0,51.55
NA,WP_166031082.1,1,51.0,50.45
NA,WP_166031083.1,1,46.0,44.74
NA,WP_166031084.1,1,47.0,52.8
NA,WP_210412132.1,1,52.0,54.55
NA,WP_166031085.1,1,50.0,43.23
coaE,WP_166031086.1,1,47.0,46.11
NA,WP_166031087.1,1,57.99999999999999,57.81
larB,WP_166031088.1,1,55.00000000000001,55.88
NA,WP_166031089.1,1,50.0,51.91
NA,WP_210412134.1,1,48.0,50.0
NA,WP_166031091.1,1,46.0,43.41
NA,WP_166031092.1,1,52.0,53.47
topA,WP_166031093.1,1,50.0,47.39
dprA,WP_166031094.1,1,55.00000000000001,50.97
NA,WP_166031095.1,1,51.0,47.25
NA,WP_166031096.1,1,47.0,52.79
NA,WP_166031097.1,1,49.0,49.6
NA,WP_166031098.1,1,47.0,49.01
NA,WP_166031099.1,1,47.0,49.24
NA,WP_166031100.1,1,51.0,50.8
xerD,WP_166031101.1,1,52.0,51.57
NA,WP_166031102.1,1,50.0,52.23
NA,WP_166031103.1,1,47.0,47.6
NA,WP_166031104.1,1,53.0,55.0
NA,WP_166031105.1,1,52.0,51.11
NA,WP_166031106.1,1,52.0,51.67
NA,WP_166031107.1,1,52.0,48.04
NA,WP_166031108.1,1,53.0,53.63
NA,WP_166031109.1,1,54.0,55.47
NA,WP_166031110.1,1,51.0,50.62
NA,WP_166031111.1,1,53.0,50.28
NA,WP_166031112.1,1,54.0,51.13
NA,WP_166031113.1,1,54.0,56.84
NA,WP_166031114.1,1,52.0,54.46
NA,WP_166031115.1,1,56.00000000000001,59.69
NA,WP_166031116.1,1,55.00000000000001,56.49
NA,WP_166031117.1,1,54.0,59.85
NA,WP_166031118.1,1,52.0,51.74
NA,WP_166031119.1,1,54.0,53.82
NA,WP_166031120.1,1,50.0,52.39
nhaA,WP_166031121.1,1,46.0,51.16
cooS,WP_166031122.1,1,49.0,50.08
NA,WP_166031123.1,1,50.0,55.81
NA,WP_166031124.1,1,31.0,30.32
NA,WP_166031125.1,1,51.0,51.61
NA,WP_166031126.1,1,48.0,49.8
NA,WP_246169692.1,1,55.00000000000001,55.71
NA,WP_166031127.1,1,46.0,55.56
NA,WP_166031128.1,1,52.0,62.0
NA,WP_166031129.1,1,49.0,53.47
deoC,WP_166031130.1,1,55.00000000000001,61.32
NA,WP_166031131.1,1,52.0,59.42
NA,WP_166031132.1,1,51.0,55.97
NA,WP_166031133.1,1,53.0,57.14
NA,WP_166031134.1,1,53.0,58.59
NA,WP_166031135.1,1,53.0,50.25
NA,WP_166031136.1,1,54.0,58.33
NA,WP_166031137.1,1,56.00000000000001,57.81
NA,WP_166031138.1,1,51.0,52.82
mnmG,WP_166031139.1,1,54.0,55.56
NA,WP_166031140.1,1,55.00000000000001,61.54
NA,WP_166031141.1,1,49.0,54.52
NA,WP_166031142.1,1,51.0,55.6
NA,WP_166031143.1,1,48.0,50.51
NA,WP_166031144.1,1,55.00000000000001,59.59
NA,WP_166031145.1,1,54.0,56.78
NA,WP_166031146.1,1,50.0,54.84
pabB,WP_166031147.1,1,52.0,57.31
NA,WP_166031148.1,1,55.00000000000001,63.98
NA,WP_166031149.1,1,53.0,62.69
NA,WP_166031150.1,1,56.00000000000001,64.23
NA,WP_166031151.1,1,56.99999999999999,64.66
NA,WP_166031152.1,1,52.0,57.45
NA,WP_166031153.1,1,55.00000000000001,63.35
NA,WP_166031154.1,1,56.00000000000001,64.25
NA,WP_166031155.1,1,56.00000000000001,61.39
NA,WP_166031156.1,1,55.00000000000001,64.18
NA,WP_166031157.1,1,57.99999999999999,62.24
NA,WP_166031158.1,1,55.00000000000001,65.02
NA,WP_166031159.1,1,54.0,62.91
NA,WP_166031160.1,1,55.00000000000001,61.96
NA,WP_210412138.1,1,56.00000000000001,65.5
speD,WP_166031161.1,1,48.0,61.03
speB,WP_166031162.1,1,57.99999999999999,61.05
NA,WP_246169695.1,1,51.0,51.63
NA,WP_166031164.1,1,54.0,63.12
NA,WP_166031165.1,1,55.00000000000001,61.31
NA,WP_166031166.1,1,50.0,62.09
NA,WP_166031167.1,1,51.0,57.06
rpsT,WP_166031168.1,1,56.00000000000001,64.71
NA,WP_166031169.1,1,50.0,52.35
leuS,WP_181494234.1,1,55.00000000000001,62.18
nusB,WP_166031171.1,1,56.99999999999999,70.37
ribE,WP_166031172.1,1,59.0,68.24
NA,WP_166031173.1,1,56.00000000000001,63.45
NA,WP_166031174.1,1,48.0,43.41
ribD,WP_166031175.1,1,60.0,61.83
NA,WP_166031176.1,1,53.0,55.45
NA,WP_166031177.1,1,52.0,55.53
NA,WP_246169697.1,1,56.99999999999999,61.74
NA,WP_166031179.1,1,56.99999999999999,61.03
NA,WP_166031180.1,1,51.0,50.8
NA,WP_166031181.1,1,55.00000000000001,58.4
NA,WP_166031182.1,1,48.0,55.07
NA,WP_166031183.1,1,50.0,53.8
NA,WP_166031186.1,1,55.00000000000001,60.77
NA,WP_166031187.1,1,54.0,60.4
NA,WP_281347284.1,1,53.0,62.21
NA,WP_166031188.1,1,56.00000000000001,63.43
NA,WP_166031189.1,1,55.00000000000001,58.07
pheA,WP_166031190.1,1,55.00000000000001,60.51
NA,WP_166031191.1,1,53.0,64.83
NA,WP_166031192.1,1,55.00000000000001,60.9
NA,WP_166031193.1,1,55.00000000000001,60.8
NA,WP_166031194.1,1,56.00000000000001,61.46
NA,WP_166031195.1,1,54.0,56.1
NA,WP_181494233.1,1,56.00000000000001,64.24
NA,WP_166031196.1,1,51.0,61.7
NA,WP_166031197.1,1,51.0,47.32
NA,WP_166031198.1,1,47.0,54.33
NA,WP_166031199.1,1,50.0,44.91
cobT,WP_166031200.1,1,56.99999999999999,59.89
cobS,WP_166031201.1,1,51.0,53.56
NA,WP_166031202.1,1,53.0,57.69
NA,WP_220126100.1,1,42.0,44.12
ilvB,WP_166031203.1,1,54.0,62.59
ilvN,WP_166031204.1,1,51.0,58.71
ilvC,WP_166031205.1,1,56.00000000000001,60.0
NA,WP_166031206.1,1,54.0,52.17
pssA,WP_166031207.1,1,53.0,58.06
NA,WP_166031208.1,1,55.00000000000001,61.3
leuC,WP_210412140.1,1,56.00000000000001,60.34
leuD,WP_166031209.1,1,55.00000000000001,69.57
NA,WP_166031210.1,1,56.99999999999999,62.28
NA,WP_166031211.1,1,56.00000000000001,65.5
NA,WP_166031212.1,1,56.00000000000001,68.79
NA,WP_166031213.1,1,53.0,62.46
NA,WP_246169700.1,1,59.0,70.08
NA,WP_166031214.1,1,56.99999999999999,61.44
NA,WP_166031215.1,1,56.99999999999999,64.17
NA,WP_166031216.1,1,56.00000000000001,64.71
NA,WP_166031217.1,1,55.00000000000001,63.07
NA,WP_166031218.1,1,56.99999999999999,62.43
NA,WP_166031219.1,1,57.99999999999999,64.53
NA,WP_166031220.1,1,52.0,60.67
NA,WP_166031221.1,1,56.00000000000001,56.58
NA,WP_166031222.1,1,57.99999999999999,67.04
NA,WP_166031223.1,1,57.99999999999999,64.2
NA,WP_166031224.1,1,59.0,67.08
